lang-code (iso 639-3)	coverage	per-concat	per-unk	WER	CER	path-original	path-wordlist	path-phonetic-text	type-ref	type-list
cmn	17.39	0.0	82.61	1.0	0.98	C:/Users/debor/masterThesis/data/theNorthWindAndTheSun/cmn-orthographic.txt	C:/Users/debor/wikipron/data/scrape/tsv/cmn_hani_broad.tsv	output/cmn_0_phonetic.txt		broad
deu	75.0	0.0	25.0	0.77	0.52	C:/Users/debor/masterThesis/data/theNorthWindAndTheSun/deu-orthographic.txt	C:/Users/debor/wikipron/data/scrape/tsv/ger_latn_broad_filtered.tsv	output/deu_0_phonetic.txt	broad	broad
deu	22.22	0.0	77.78	0.98	0.82	C:/Users/debor/masterThesis/data/theNorthWindAndTheSun/deu-orthographic.txt	C:/Users/debor/wikipron/data/scrape/tsv/ger_latn_narrow.tsv	output/deu_1_phonetic.txt	narrow	narrow
deu	75.0	0.0	25.0	0.85	0.52	C:/Users/debor/masterThesis/data/theNorthWindAndTheSun/deu-orthographic.txt	C:/Users/debor/wikipron/data/scrape/tsv/ger_latn_broad_filtered.tsv	output/deu_2_phonetic.txt	narrow	broad
deu	22.22	0.0	77.78	0.98	0.83	C:/Users/debor/masterThesis/data/theNorthWindAndTheSun/deu-orthographic.txt	C:/Users/debor/wikipron/data/scrape/tsv/ger_latn_narrow.tsv	output/deu_3_phonetic.txt	broad	narrow
ell	6.14	0.0	93.86	1.0	0.9	C:/Users/debor/masterThesis/data/theNorthWindAndTheSun/ell-orthographic.txt	C:/Users/debor/masterThesis/data/word-list/gre_grek_narrow.tsv	output/ell_0_phonetic.txt		narrow
ell	22.81	0.0	77.19	0.94	0.85	C:/Users/debor/masterThesis/data/theNorthWindAndTheSun/ell-orthographic.txt	C:/Users/debor/wikipron/data/scrape/tsv/gre_grek_broad_filtered.tsv	output/ell_1_phonetic.txt		broad
eng	84.96	0.0	15.04	0.91	0.47	C:/Users/debor/masterThesis/data/theNorthWindAndTheSun/eng-orthographic.txt	C:/Users/debor/wikipron/data/scrape/tsv/eng_latn_uk_broad_filtered.tsv	output/eng_0_phonetic.txt	broad	broad
eng	7.96	0.0	92.04	1.01	0.83	C:/Users/debor/masterThesis/data/theNorthWindAndTheSun/eng-orthographic.txt	C:/Users/debor/wikipron/data/scrape/tsv/eng_latn_uk_narrow.tsv	output/eng_1_phonetic.txt	narrow	narrow
eng	7.96	0.0	92.04	1.0	0.83	C:/Users/debor/masterThesis/data/theNorthWindAndTheSun/eng-orthographic.txt	C:/Users/debor/wikipron/data/scrape/tsv/eng_latn_uk_narrow.tsv	output/eng_2_phonetic.txt	broad	narrow
