allophones,confidence,description,domainelement_pk,frequency,id,jsondata,marginal,markup_description,name,pk,valueset_pk
,,,,,66435,{},,,m Mapudungun (SAPHON 1802),66435,66435
,,,,,66429,{},,,i Mapudungun (SAPHON 1802),66429,66429
,,,,,66431,{},,,k Mapudungun (SAPHON 1802),66431,66431
,,,,,66430,{},,,j Mapudungun (SAPHON 1802),66430,66430
,,,,,66448,{},,,u Mapudungun (SAPHON 1802),66448,66448
,,,,,66425,{},,,a Mapudungun (SAPHON 1802),66425,66425
,,,,,66441,{},,,p Mapudungun (SAPHON 1802),66441,66441
,,,,,66450,{},,,w Mapudungun (SAPHON 1802),66450,66450
,,,,,66436,{},,,n Mapudungun (SAPHON 1802),66436,66436
,,,,,66444,{},,,t Mapudungun (SAPHON 1802),66444,66444
,,,,,66432,{},,,l Mapudungun (SAPHON 1802),66432,66432
,,,,,66442,{},,,s Mapudungun (SAPHON 1802),66442,66442
,,,,,66439,{},,,ŋ Mapudungun (SAPHON 1802),66439,66439
,,,,,66426,{},,,e Mapudungun (SAPHON 1802),66426,66426
,,,,,66440,{},,,o Mapudungun (SAPHON 1802),66440,66440
,,,,,66427,{},,,f Mapudungun (SAPHON 1802),66427,66427
,,,,,66438,{},,,ɲ Mapudungun (SAPHON 1802),66438,66438
,,,,,66446,{},,,t̠ʃ Mapudungun (SAPHON 1802),66446,66446
,,,,,66443,{},,,ʃ Mapudungun (SAPHON 1802),66443,66443
,,,,,66445,{},,,t̪ Mapudungun (SAPHON 1802),66445,66445
,,,,,66437,{},,,n̪ Mapudungun (SAPHON 1802),66437,66437
,,,,,66428,{},,,ɣ Mapudungun (SAPHON 1802),66428,66428
,,,,,66433,{},,,l̪ Mapudungun (SAPHON 1802),66433,66433
,,,,,66449,{},,,ɯ Mapudungun (SAPHON 1802),66449,66449
,,,,,66434,{},,,ʎ Mapudungun (SAPHON 1802),66434,66434
,,,,,66452,{},,,θ Mapudungun (SAPHON 1802),66452,66452
,,,,,66447,{},,,ʈʂ Mapudungun (SAPHON 1802),66447,66447
,,,,,66451,{},,,ʐ Mapudungun (SAPHON 1802),66451,66451
