lang-code (iso 639-3)	coverage	per-concat	per-unk	WER	PER	path-original	path-wordlist	path-phonetic-text	type-ref	type-list
cmn	85.15	0.0	14.85	93.07	59.26	C:/Users/debor/MA_fork/data/nws/cmn-tokens.txt	C:\Users\debor\MA_fork\data\wikipron_clean\high\cmn_hani_broad.tsv	output/cmn_0_phonetic.txt	unk	broad
deu	75.0	0.0	25.0	72.22	52.67	C:/Users/debor/MA_fork/data/nws/deu-orthographic.txt	C:\Users\debor\MA_fork\data\wikipron_clean\high\deu_latn_broad_filtered.tsv	output/deu_0_phonetic.txt	broad	broad
deu	22.22	0.0	77.78	97.22	84.85	C:/Users/debor/MA_fork/data/nws/deu-orthographic.txt	C:\Users\debor\MA_fork\data\wikipron_clean\high\deu_latn_narrow.tsv	output/deu_1_phonetic.txt	narrow	narrow
ell	7.89	0.0	92.11	100.0	95.09	C:/Users/debor/MA_fork/data/nws/ell-orthographic.txt	C:\Users\debor\MA_fork\data\wikipron_clean\high\ell_grek_narrow.tsv	output/ell_0_phonetic.txt	unk	narrow
ell	26.32	0.0	73.68	84.21	87.74	C:/Users/debor/MA_fork/data/nws/ell-orthographic.txt	C:\Users\debor\MA_fork\data\wikipron_clean\high\ell_grek_broad_filtered.tsv	output/ell_1_phonetic.txt	unk	broad
eng	92.04	0.0	7.96	83.19	37.27	C:/Users/debor/MA_fork/data/nws/eng-us-orthographic.txt	C:\Users\debor\MA_fork\data\wikipron_clean\high\eng_latn_us_broad_filtered.tsv	output/eng_0_phonetic.txt	broad	broad
eng	7.08	0.0	92.92	100.0	108.35	C:/Users/debor/MA_fork/data/nws/eng-us-orthographic.txt	C:\Users\debor\MA_fork\data\wikipron_clean\high\eng_latn_us_narrow.tsv	output/eng_1_phonetic.txt	narrow	narrow
eus	5.75	0.0	94.25	96.55	97.95	C:/Users/debor/MA_fork/data/nws/eus-goizueta-ortho.txt	C:\Users\debor\MA_fork\data\wikipron_clean\high\eus_latn_broad.tsv	output/eus_0_phonetic.txt	broad	broad
ind	22.22	0.0	77.78	96.3	88.04	C:/Users/debor/MA_fork/data/nws/ind-orthographic.txt	C:\Users\debor\MA_fork\data\wikipron_clean\high\ind_latn_broad.tsv	output/ind_0_phonetic.txt	unk	broad
ind	1.85	0.0	98.15	100.0	101.69	C:/Users/debor/MA_fork/data/nws/ind-orthographic.txt	C:\Users\debor\MA_fork\data\wikipron_clean\high\ind_latn_narrow.tsv	output/ind_1_phonetic.txt	unk	narrow
kat	44.29	0.0	55.71	90.0	73.85	C:/Users/debor/MA_fork/data/nws/kat-orthographic.txt	C:\Users\debor\MA_fork\data\wikipron_clean\high\kat_geor_broad_filtered.tsv	output/kat_0_phonetic.txt	broad	broad
mya	7.5	0.0	92.5	97.5	97.7	C:/Users/debor/MA_fork/data/nws/mya-orthographic.txt	C:\Users\debor\MA_fork\data\wikipron_clean\high\mya_mymr_broad_filtered.tsv	output/mya_0_phonetic.txt	broad	broad
