Grapheme	mapping	frequency
 	 	225
"
"	"
"	58
다	다	9
이	이	8
그	그	6
니	니	6
고	고	5
투	투	5
나	나	5
습	습	5
힘	힘	4
네	네	4
외	외	4
를	를	4
님	님	3
더	더	3
세	세	3
을	을	3
가	가	3
은	은	3
는	는	3
하	하	3
불	불	3
었	었	3
햇	햇	3
로	로	2
때	때	2
한	한	2
지	지	2
벗	벗	2
기	기	2
정	정	2
북	북	2
풍	풍	2
수	수	2
단	단	2
히	히	2
여	여	2
에	에	2
바	바	1
람	람	1
과	과	1
해	해	1
서	서	1
있	있	1
따	따	1
뜻	뜻	1
입	입	1
걸	걸	1
어	어	1
왔	왔	1
들	들	1
누	누	1
구	구	1
든	든	1
의	의	1
먼	먼	1
저	저	1
결	결	1
했	했	1
껏	껏	1
으	으	1
면	면	1
록	록	1
몄	몄	1
뜨	뜨	1
거	거	1
운	운	1
빛	빛	1
만	만	1
내	내	1
려	려	1
쬐	쬐	1
얼	얼	1
른	른	1
리	리	1
둘	둘	1
중	중	1
인	인	1
않	않	1
없	없	1
