Grapheme	mapping	frequency
 	 	1819350
⁵	⁵	348121
¹	¹	227000
²	²	104522
³	³	102868
⁴	⁴	76969
⁻	⁻	70434
n	n	67150
ɕ	ɕ	54371
ʰ	ʰ	53212
ŋ	ŋ	51633
i	i	50813
t͡	t͡	47519
ʂ	ʂ	46643
j	j	46518
ä	ä	40797
w	w	38621
ɑ	ɑ	37814
ʊ̯	ʊ̯	32818
t	t	30767
u	u	28231
ɛ	ɛ	28215
ʈ͡	ʈ͡	26672
ɪ̯	ɪ̯	23416
p	p	23313
s	s	21400
ɤ	ɤ	21394
k	k	20906
⁽	⁽	19248
⁾	⁾	19248
l	l	18685
x	x	15617
o	o	14061
ə	ə	13627
e	e	13477
a	a	12970
m	m	12540
ʐ̩	ʐ̩	12044
ɔ	ɔ	11581
ʊ	ʊ	11425
f	f	10065
y	y	9987
z̩	z̩	7448
ɥ	ɥ	7304
ɻ	ɻ	6251
ˀ	ˀ	5548
ʐ	ʐ	5287
ʷ	ʷ	1366
d͡	d͡	1275
z̥	z̥	1185
æ̃	æ̃	354
ə̯	ə̯	351
d̥	d̥	343
ɚ	ɚ	240
ɑ̃	ɑ̃	220
b̥	b̥	182
v	v	182
ɤ̯̃	ɤ̯̃	132
ɤ̃	ɤ̃	124
ʲ	ʲ	107
g̊	g̊	102
ʑ̥	ʑ̥	90
ɖ͡	ɖ͡	81
ʐ̥	ʐ̥	81
ʊ̃	ʊ̃	67
ː	ː	57
z	z	49
⁰	⁰	29
m̩	m̩	11
ŋ̍	ŋ̍	5
n̩	n̩	5
