Grapheme	mapping	frequency
⁵	⁵	348121
¹	¹	227000
²	²	104522
³	³	102868
⁴	⁴	76969
⁻	⁻	70434
n	n	67043
ŋ	ŋ	51633
i	i	50813
j	j	46518
ä	ä	39159
w	w	38621
ɑ	ɑ	37340
ʊ̯	ʊ̯	32818
u	u	28231
ɛ	ɛ	28207
ɪ̯	ɪ̯	23416
t͡ɕ	t͡ɕ	23105
ʂ	ʂ	19971
ɕ	ɕ	19851
⁽	⁽	19248
⁾	⁾	19248
ɤ	ɤ	18985
l	l	18685
t	t	18107
p	p	16341
ʈ͡ʂ	ʈ͡ʂ	16046
x	x	15617
k	k	14083
o	o	13851
ə	ə	13532
e	e	13468
tʰ	tʰ	12660
m	m	12540
a	a	12281
ʐ̩	ʐ̩	12044
ɔ	ɔ	11509
ʊ	ʊ	11424
t͡ɕʰ	t͡ɕʰ	11415
ʈ͡ʂʰ	ʈ͡ʂʰ	10626
f	f	10065
y	y	9987
s	s	8401
t͡s	t͡s	8283
z̩	z̩	7448
ɥ	ɥ	7304
pʰ	pʰ	6972
kʰ	kʰ	6823
ʐ	ʐ	5287
ɻ	ɻ	4885
t͡sʰ	t͡sʰ	4716
ˀɤ	ˀɤ	2409
ˀä	ˀä	1638
ɻʷ	ɻʷ	1366
d͡z̥	d͡z̥	1185
ˀa	ˀa	689
ˀɑ	ˀɑ	474
æ̃	æ̃	354
ə̯	ə̯	351
d̥	d̥	343
ɚ	ɚ	240
ɑ̃	ɑ̃	220
ˀo	ˀo	210
b̥	b̥	182
v	v	182
ɤ̯̃	ɤ̯̃	132
ɤ̃	ɤ̃	124
nʲ	nʲ	107
g̊	g̊	102
ˀə	ˀə	95
d͡ʑ̥	d͡ʑ̥	90
ɖ͡ʐ̥	ɖ͡ʐ̥	81
ʊ̃	ʊ̃	67
ɔː	ɔː	57
z	z	49
⁰	⁰	29
ˀɔ	ˀɔ	15
m̩	m̩	11
ˀe	ˀe	9
ˀɛ	ˀɛ	8
ŋ̍	ŋ̍	5
n̩	n̩	5
ˀʊ	ˀʊ	1
