Grapheme	mapping	frequency
 	 	151
ᐢ	ᐢ	67
ᐤ	ᐤ	35
ᑭ	ᑭ	29
ᐠ	ᐠ	27
ᐦ	ᐦ	26
ᓯ	ᓯ	24
ᐊ	ᐊ	23
ᓂ	ᓂ	21
ᐣ	ᐣ	20
ᐱ	ᐱ	18
ᑎ	ᑎ	17
ᑲ	ᑲ	16
ᐚ	ᐚ	15
ᕀ	ᕀ	15
ᑿ	ᑿ	14
ᑯ	ᑯ	13
ᒪ	ᒪ	13
ᐘ	ᐘ	11
ᒥ	ᒥ	11
ᓃ	ᓃ	10
ᑕ	ᑕ	10
ᑮ	ᑮ	10
ᓇ	ᓇ	10
ᔭ	ᔭ	9
ᐃ	ᐃ	8
ᑳ	ᑳ	8
ᐏ	ᐏ	7
ᔮ	ᔮ	7
ᑫ	ᑫ	7
ᒦ	ᒦ	7
ᔨ	ᔨ	6
ᓈ	ᓈ	6
ᐑ	ᐑ	6
ᐯ	ᐯ	6
ᑊ	ᑊ	5
ᐳ	ᐳ	5
ᒼ	ᒼ	5
ᐸ	ᐸ	5
ᓰ	ᓰ	5
ᑵ	ᑵ	4
ᑖ	ᑖ	4
ᒋ	ᒋ	4
ᓵ	ᓵ	4
ᓀ	ᓀ	4
ᒫ	ᒫ	4
ᔦ	ᔦ	4
ᐲ	ᐲ	4
ᑐ	ᑐ	4
ᑌ	ᑌ	3
ᐅ	ᐅ	3
ᕽ	ᕽ	3
ᒧ	ᒧ	3
ᐹ	ᐹ	3
ᓭ	ᓭ	3
ᒨ	ᒨ	3
ᓅ	ᓅ	3
ᒷ	ᒷ	2
ᔩ	ᔩ	2
ᔫ	ᔫ	2
ᒐ	ᒐ	2
ᓄ	ᓄ	2
ᔁ	ᔁ	2
ᒉ	ᒉ	1
ᐆ	ᐆ	1
ᕁ	ᕁ	1
ᒍ	ᒍ	1
ᒑ	ᒑ	1
ᐋ	ᐋ	1
ᐨ	ᐨ	1
ᑰ	ᑰ	1
ᒌ	ᒌ	1
ᒣ	ᒣ	1
ᑉ	ᑉ	1
ᑷ	ᑷ	1
ᐓ	ᐓ	1
ᑤ	ᑤ	1
ᓱ	ᓱ	1
ᓲ	ᓲ	1
ᓴ	ᓴ	1
