Grapheme	mapping	frequency
 	 	60421
e	e	50439
a	a	41456
i	i	38610
n	n	30966
r	r	30949
o	o	30345
t	t	30281
s	s	28368
l	l	24135
c	c	20616
u	u	16770
d	d	16129
m	m	13772
p	p	13494
h	h	13222
g	g	12033
b	b	9267
y	y	9266
f	f	6260
v	v	4711
k	k	4663
w	w	4035
z	z	1969
x	x	1561
j	j	1209
q	q	1037
'	'	331
é	é	150
æ	æ	36
è	è	29
ö	ö	26
ë	ë	23
ü	ü	20
œ	œ	18
á	á	16
ç	ç	14
ê	ê	13
ä	ä	13
ñ	ñ	11
ó	ó	10
í	í	8
č	č	7
â	â	7
ô	ô	7
ú	ú	5
ø	ø	5
ï	ï	4
à	à	4
ē	ē	3
ř	ř	3
ž	ž	3
ā	ā	2
ṭ	ṭ	2
ū	ū	2
ã	ã	2
ī	ī	2
õ	õ	2
å	å	2
ð	ð	2
ț	ț	1
ą	ą	1
ğ	ğ	1
ń	ń	1
î	î	1
ō	ō	1
ı	ı	1
û	û	1
ù	ù	1
ș	ș	1
ł	ł	1
ę	ę	1
