Grapheme	mapping	frequency
 	 	426433
ɪ	ɪ	45084
ə	ə	44418
t	t	26593
n	n	26096
s	s	23429
ɹ	ɹ	21943
l	l	21138
ː	ː	20530
k	k	19788
d	d	17705
i	i	15887
m	m	13264
p	p	11403
ɛ	ɛ	11155
ʊ	ʊ	10156
æ	æ	9530
b	b	8886
a	a	8572
e	e	7916
z	z	7243
f	f	7199
ʃ	ʃ	6845
ɒ	ɒ	6839
ɡ	ɡ	5680
ʌ	ʌ	5197
u	u	5187
v	v	4742
ɑ	ɑ	4386
ɔ	ɔ	4146
j	j	4063
ʒ	ʒ	4032
ŋ	ŋ	3992
w	w	3454
h	h	3102
ɜ	ɜ	1887
θ	θ	1828
o	o	1154
d͡	d͡	836
t͡	t͡	555
l̩	l̩	482
ð	ð	443
r	r	427
n̩	n̩	307
ɚ	ɚ	266
ɪ̯	ɪ̯	124
ɫ	ɫ	109
ʍ	ʍ	98
ɝ	ɝ	77
m̩	m̩	72
ʊ̯	ʊ̯	67
ʔ	ʔ	23
