Grapheme	mapping	frequency
 	 	61172
e	e	51166
a	a	42007
i	i	39144
n	n	31478
r	r	31339
o	o	30730
t	t	30684
s	s	28735
l	l	24409
c	c	20943
u	u	17018
d	d	16291
m	m	13962
p	p	13650
h	h	13509
g	g	12187
b	b	9391
y	y	9361
f	f	6315
v	v	4763
k	k	4730
w	w	4065
z	z	2021
x	x	1577
j	j	1220
q	q	1061
'	'	334
é	é	161
æ	æ	36
ö	ö	31
è	è	29
ü	ü	24
ë	ë	23
œ	œ	18
ä	ä	17
á	á	16
ç	ç	16
ê	ê	13
ñ	ñ	11
ó	ó	10
í	í	9
ô	ô	8
č	č	7
â	â	7
ú	ú	5
ø	ø	5
ï	ï	4
à	à	4
ā	ā	3
ē	ē	3
ř	ř	3
ž	ž	3
ṭ	ṭ	2
ū	ū	2
ã	ã	2
ī	ī	2
õ	õ	2
å	å	2
ð	ð	2
ț	ț	1
ą	ą	1
ğ	ğ	1
ń	ń	1
î	î	1
ō	ō	1
ı	ı	1
û	û	1
ù	ù	1
ș	ș	1
ł	ł	1
ę	ę	1
