Grapheme	mapping	frequency
 	 	432079
ɪ	ɪ	45440
ə	ə	44820
t	t	26921
n	n	26485
s	s	23755
ɹ	ɹ	22204
l	l	21368
ː	ː	20793
k	k	20013
d	d	17869
i	i	16061
m	m	13436
p	p	11526
ɛ	ɛ	11329
ʊ	ʊ	10258
æ	æ	9632
b	b	9009
a	a	8684
e	e	8014
z	z	7335
f	f	7274
ʃ	ʃ	6922
ɒ	ɒ	6907
ɡ	ɡ	5744
u	u	5257
ʌ	ʌ	5256
v	v	4799
ɑ	ɑ	4467
ɔ	ɔ	4183
j	j	4123
ʒ	ʒ	4079
ŋ	ŋ	4022
w	w	3499
h	h	3139
ɜ	ɜ	1896
θ	θ	1850
o	o	1204
d͡	d͡	849
t͡	t͡	578
l̩	l̩	488
ð	ð	444
r	r	442
n̩	n̩	313
ɚ	ɚ	274
ɨ	ɨ	237
ɪ̯	ɪ̯	130
ɫ	ɫ	109
ʍ	ʍ	98
x	x	90
ɝ	ɝ	84
m̩	m̩	74
ʊ̯	ʊ̯	74
ɒ̃	ɒ̃	44
ɵ	ɵ	33
ɘ	ɘ	29
ə̯	ə̯	29
ɑ̃	ɑ̃	27
ə̆	ə̆	27
ʔ	ʔ	26
ʰ	ʰ	22
ɐ	ɐ	19
ĭ	ĭ	16
χ	χ	14
y	y	13
ʁ	ʁ	12
ʉ	ʉ	11
ɾ	ɾ	10
ˑ	ˑ	9
ʊ̆	ʊ̆	9
ɪ̈	ɪ̈	8
ç	ç	7
ɔ̃	ɔ̃	7
ɹ̩	ɹ̩	7
æ̃	æ̃	6
ʲ	ʲ	6
ʈ	ʈ	5
ø	ø	5
ʀ	ʀ	4
ĩ	ĩ	4
ᵊ	ᵊ	4
ɲ	ɲ	4
ē	ē	4
ɕ	ɕ	3
ɖ	ɖ	3
ɛ̃	ɛ̃	3
t̬	t̬	3
ɬ	ɬ	3
ɱ	ɱ	3
↓	↓	2
ɪ̪	ɪ̪	2
c	c	2
ə͡	ə͡	2
ɽ	ɽ	2
,	,	2
ä	ä	2
ʏ	ʏ	1
d̪	d̪	1
ˡ	ˡ	1
ã	ã	1
ʙ̩	ʙ̩	1
ɻ	ɻ	1
ʊ̩	ʊ̩	1
k̚	k̚	1
ˀ	ˀ	1
ɹ̥	ɹ̥	1
e͡	e͡	1
ɛ̝	ɛ̝	1
œ	œ	1
ɦ	ɦ	1
ɫ̩	ɫ̩	1
ʳ	ʳ	1
ʃ̝	ʃ̝	1
ʃ̙	ʃ̙	1
ɭ	ɭ	1
î	î	1
ʷ	ʷ	1
l͡	l͡	1
ɯ	ɯ	1
o̞	o̞	1
ʌ̈	ʌ̈	1
ú	ú	1
ô	ô	1
t̚	t̚	1
ɣ	ɣ	1
q	q	1
ṽ	ṽ	1
ā	ā	1
ɨ̞	ɨ̞	1
~	~	1
˞	˞	1
ɜ̃	ɜ̃	1
ɵ̞	ɵ̞	1
ʃ̩̩	ʃ̩̩	1
ʊ̂	ʊ̂	1
