Grapheme	mapping	frequency
ɪ	ɪ	45415
ə	ə	44577
t	t	26913
n	n	26480
s	s	23738
ɹ	ɹ	22200
l	l	21367
k	k	20003
d	d	17866
m	m	13435
p	p	11520
ɛ	ɛ	11157
ʊ	ʊ	10251
æ	æ	9619
i	i	9147
b	b	9005
a	a	8645
e	e	7998
z	z	7334
f	f	7272
iː	iː	6913
ɒ	ɒ	6904
ʃ	ʃ	6355
ɡ	ɡ	5743
ʌ	ʌ	5253
v	v	4799
uː	uː	4554
j	j	4123
ŋ	ŋ	4022
ɑː	ɑː	3777
w	w	3499
ʒ	ʒ	3231
ɔː	ɔː	3166
h	h	3139
θ	θ	1850
ɜː	ɜː	1805
o	o	1186
ɔ	ɔ	1017
d͡ʒ	d͡ʒ	848
u	u	702
ɑ	ɑ	689
t͡ʃ	t͡ʃ	560
l̩	l̩	488
ð	ð	444
r	r	442
n̩	n̩	313
ɚ	ɚ	273
əː	əː	240
ɨ	ɨ	237
ɛː	ɛː	171
ɪ̯	ɪ̯	130
ɫ	ɫ	109
ʍ	ʍ	98
ɜ	ɜ	91
x	x	90
ɝ	ɝ	75
ʊ̯	ʊ̯	74
m̩	m̩	73
ɒ̃	ɒ̃	44
aː	aː	39
ɵ	ɵ	33
ɘ	ɘ	29
ə̯	ə̯	29
ə̆	ə̆	27
ʔ	ʔ	26
ɑ̃	ɑ̃	26
ɪː	ɪː	22
ɐ	ɐ	17
oː	oː	17
eː	eː	16
ĭ	ĭ	16
χ	χ	14
æː	æː	13
ʁ	ʁ	12
y	y	11
t͡s	t͡s	11
ɾ	ɾ	10
ɝː	ɝː	9
kʰ	kʰ	9
ʊ̆	ʊ̆	9
ɪ̈	ɪ̈	8
ç	ç	7
ɹ̩	ɹ̩	7
æ̃	æ̃	6
ɔ̃	ɔ̃	6
ʉː	ʉː	6
ʊː	ʊː	5
ʈ	ʈ	5
tʰ	tʰ	5
ø	ø	5
ʉ	ʉ	5
ʀ	ʀ	4
ĩ	ĩ	4
ɲ	ɲ	4
ē	ē	4
nː	nː	4
ɹː	ɹː	3
ɒː	ɒː	3
ɖ	ɖ	3
ʃː	ʃː	3
ɛ̃	ɛ̃	3
pʰ	pʰ	3
pː	pː	3
t̬	t̬	3
ɬ	ɬ	3
ɱ	ɱ	3
ʌː	ʌː	3
əˑ	əˑ	2
↓	↓	2
ɐː	ɐː	2
t͡ɕ	t͡ɕ	2
ɪ̪	ɪ̪	2
c	c	2
ʃʰ	ʃʰ	2
ə͡ʊ	ə͡ʊ	2
dʲ	dʲ	2
bʲ	bʲ	2
fː	fː	2
yː	yː	2
ɽ	ɽ	2
bᵊ	bᵊ	2
,	,	2
sː	sː	2
ä	ä	2
ɹˑ	ɹˑ	1
ʏ	ʏ	1
ɑˑ	ɑˑ	1
d̪	d̪	1
nˡ	nˡ	1
iˑ	iˑ	1
ã	ã	1
kᵊ	kᵊ	1
ʙ̩ː	ʙ̩ː	1
ɡː	ɡː	1
ɻ	ɻ	1
ɪˑ	ɪˑ	1
ʊ̩	ʊ̩	1
tˑ	tˑ	1
k̚	k̚	1
oˀ	oˀ	1
ɕː	ɕː	1
ɹ̥	ɹ̥	1
e͡ɪ	e͡ɪ	1
ɑ̃ː	ɑ̃ː	1
ɛ̝	ɛ̝	1
œ	œ	1
t͡ʃˑ	t͡ʃˑ	1
ɪʲ	ɪʲ	1
ɔ̃ː	ɔ̃ː	1
m̩ː	m̩ː	1
ɦ	ɦ	1
ɫ̩	ɫ̩	1
əʳ	əʳ	1
t͡ʃ̝	t͡ʃ̝	1
t͡ʃ̙	t͡ʃ̙	1
ɭ	ɭ	1
tː	tː	1
tᵊ	tᵊ	1
t͡ʃʰ	t͡ʃʰ	1
îː	îː	1
d͡z	d͡z	1
uʷ	uʷ	1
l͡s	l͡s	1
ɯ	ɯ	1
o̞	o̞	1
ʌ̈	ʌ̈	1
mː	mː	1
ú	ú	1
ɛˑ	ɛˑ	1
sːː	sːː	1
ːs	ːs	1
ô	ô	1
ɚː	ɚː	1
t̚	t̚	1
ɣ	ɣ	1
q	q	1
ṽ	ṽ	1
lʲ	lʲ	1
ā	ā	1
ɨ̞	ɨ̞	1
~	~	1
sʰ	sʰ	1
˞	˞	1
ɜ̃	ɜ̃	1
ɵ̞	ɵ̞	1
dʰ	dʰ	1
t͡ʃ̩̩	t͡ʃ̩̩	1
ʊ̂	ʊ̂	1
