Grapheme	mapping	frequency
 	 	399979
ɪ	ɪ	39050
ə	ə	35230
t	t	24562
n	n	24312
ɹ	ɹ	22469
s	s	22152
l	l	19903
k	k	18364
i	i	15430
d	d	15228
m	m	12376
ː	ː	11390
æ	æ	10884
p	p	10560
ɛ	ɛ	10549
ʊ	ʊ	9554
b	b	9213
ɑ	ɑ	7472
e	e	7432
a	a	7306
z	z	6879
f	f	6583
ʃ	ʃ	6355
o	o	5537
ɡ	ɡ	5361
u	u	4951
v	v	4465
ɔ	ɔ	4438
ʌ	ʌ	4249
ʒ	ʒ	3800
ŋ	ŋ	3730
ɚ	ɚ	3536
j	j	3402
w	w	3298
h	h	2953
ɒ	ɒ	2359
θ	θ	1767
ɝ	ɝ	1301
d͡	d͡	875
ɜ	ɜ	643
t͡	t͡	542
l̩	l̩	541
r	r	454
n̩	n̩	447
ð	ð	418
ɪ̯	ɪ̯	129
ʍ	ʍ	105
m̩	m̩	83
ʊ̯	ʊ̯	71
ɫ	ɫ	54
ʔ	ʔ	25
