Grapheme	mapping	frequency
ɪ	ɪ	39038
ə	ə	35230
t	t	24562
n	n	24312
ɹ	ɹ	22469
s	s	22152
l	l	19903
k	k	18364
d	d	15228
m	m	12376
i	i	10985
æ	æ	10872
p	p	10560
ɛ	ɛ	10505
ʊ	ʊ	9554
b	b	9213
e	e	7422
a	a	7279
z	z	6879
f	f	6583
ʃ	ʃ	5813
o	o	5524
ɑ	ɑ	5487
ɡ	ɡ	5361
v	v	4465
iː	iː	4445
ʌ	ʌ	4249
ŋ	ŋ	3730
ɚ	ɚ	3536
j	j	3402
w	w	3298
ɔ	ɔ	3201
uː	uː	3051
h	h	2953
ʒ	ʒ	2925
ɒ	ɒ	2359
ɑː	ɑː	1985
u	u	1900
θ	θ	1767
ɝ	ɝ	1238
ɔː	ɔː	1237
d͡ʒ	d͡ʒ	875
t͡ʃ	t͡ʃ	542
l̩	l̩	541
ɜː	ɜː	491
r	r	454
n̩	n̩	447
ð	ð	418
ɜ	ɜ	152
ɪ̯	ɪ̯	129
ʍ	ʍ	105
m̩	m̩	83
ʊ̯	ʊ̯	71
ɝː	ɝː	63
ɫ	ɫ	54
ɛː	ɛː	44
aː	aː	27
ʔ	ʔ	25
oː	oː	13
ɪː	ɪː	12
æː	æː	12
eː	eː	10
