Grapheme	mapping	frequency
 	 	406527
ɪ	ɪ	39475
ə	ə	35686
t	t	24910
n	n	24722
ɹ	ɹ	22790
s	s	22531
l	l	20164
k	k	18631
i	i	15641
d	d	15421
m	m	12581
ː	ː	11620
æ	æ	11019
ɛ	ɛ	10724
p	p	10719
ʊ	ʊ	9679
b	b	9346
ɑ	ɑ	7625
e	e	7528
a	a	7415
z	z	6974
f	f	6669
ʃ	ʃ	6436
o	o	5635
ɡ	ɡ	5420
u	u	5030
v	v	4543
ɔ	ɔ	4502
ʌ	ʌ	4305
ʒ	ʒ	3862
ŋ	ŋ	3761
ɚ	ɚ	3590
j	j	3472
w	w	3345
h	h	3008
ɒ	ɒ	2393
θ	θ	1792
ɝ	ɝ	1318
d͡	d͡	893
ɜ	ɜ	656
t͡	t͡	560
l̩	l̩	552
r	r	469
n̩	n̩	457
ð	ð	419
ɨ	ɨ	282
ɪ̯	ɪ̯	137
ʍ	ʍ	105
ɾ	ɾ	92
m̩	m̩	87
ʊ̯	ʊ̯	79
x	x	74
ɫ	ɫ	57
ɵ	ɵ	40
ɪ̈	ɪ̈	38
ɑ̃	ɑ̃	30
ʔ	ʔ	28
ʰ	ʰ	24
ɘ	ɘ	20
ĭ	ĭ	16
t̬	t̬	16
χ	χ	15
˞	˞	13
ɐ	ɐ	12
ɒ̃	ɒ̃	12
ʁ	ʁ	10
y	y	10
ʉ	ʉ	10
ɔ̃	ɔ̃	9
ᵊ	ᵊ	8
ə̯	ə̯	8
ɹ̩	ɹ̩	8
ʲ	ʲ	6
ʈ	ʈ	5
ē	ē	5
ä	ä	5
æ̃	æ̃	4
ˑ	ˑ	4
ç	ç	4
ɫ̩	ɫ̩	4
ɛ̃	ɛ̃	4
ɾ̃	ɾ̃	4
ɕ	ɕ	3
ɻ	ɻ	3
ɪ̪	ɪ̪	3
ɲ	ɲ	3
e͡	e͡	3
ɖ	ɖ	3
ʷ	ʷ	3
ɬ	ɬ	3
,	,	3
ɱ	ɱ	3
ʏ	ʏ	2
ɛ͡	ɛ͡	2
↓	↓	2
c	c	2
o͡	o͡	2
ɚ̯	ɚ̯	2
ɽ	ɽ	2
p̬	p̬	2
q	q	2
d̪	d̪	1
ˡ	ˡ	1
ĩ	ĩ	1
ã	ã	1
ʀ	ʀ	1
ʙ̩	ʙ̩	1
ʊ̩	ʊ̩	1
k̚	k̚	1
ʊ̆	ʊ̆	1
ə̆	ə̆	1
ˀ	ˀ	1
u̯	u̯	1
ɛ̝	ɛ̝	1
œ	œ	1
õ	õ	1
ø	ø	1
ɦ	ɦ	1
ʳ	ʳ	1
ɭ	ɭ	1
î	î	1
l͡	l͡	1
ɯ	ɯ	1
o̞	o̞	1
ʌ̈	ʌ̈	1
ú	ú	1
ə͡	ə͡	1
ɔ͡	ɔ͡	1
z̥	z̥	1
ô	ô	1
ɣ	ɣ	1
ʊ̪	ʊ̪	1
ṽ	ṽ	1
r̩	r̩	1
~	~	1
ɜ̃	ɜ̃	1
ɵ̞	ɵ̞	1
ʃ̩̩	ʃ̩̩	1
ʊ̂	ʊ̂	1
