Grapheme	mapping	frequency
 	 	9133
ɪ	ɪ	598
ə	ə	537
t	t	447
k	k	438
n	n	429
ʰ	ʰ	428
s	s	400
ɹ	ɹ	342
ɾ	ɾ	338
i	i	299
p	p	264
d	d	257
ɑ	ɑ	236
l	l	235
m	m	233
ː	ː	231
ɛ	ɛ	221
ɚ	ɚ	210
æ	æ	207
b	b	203
e	e	193
ɫ	ɫ	175
f	f	153
a	a	149
ʊ	ʊ	141
o	o	136
ʌ	ʌ	128
ʃ	ʃ	120
ʔ	ʔ	112
ɪ̯	ɪ̯	106
ŋ	ŋ	96
ɡ	ɡ	92
w	w	86
ɔ	ɔ	83
j	j	83
z	z	78
u	u	76
v	v	70
n̩	n̩	67
h	h	67
ʊ̯	ʊ̯	60
ɫ̩	ɫ̩	59
θ	θ	58
ɪ̈	ɪ̈	54
ʒ	ʒ	50
ɾ̃	ɾ̃	47
ɨ	ɨ	46
ɝ	ɝ	43
t̚	t̚	38
ɐ	ɐ	36
ɹ̠	ɹ̠	34
ʷ	ʷ	31
w̥	w̥	28
ɒ	ɒ	27
l̩	l̩	25
t͡	t͡	22
ɱ	ɱ	22
d͡	d͡	20
l̥	l̥	17
ɜ	ɜ	16
u̟	u̟	15
˞	˞	14
ə̥	ə̥	14
ɹ̠̊	ɹ̠̊	13
m̩	m̩	12
ç	ç	12
ˀ	ˀ	11
t̠	t̠	11
ä	ä	10
ə̯	ə̯	10
ɹ̥	ɹ̥	10
ʉ	ʉ	10
x	x	9
ɾ̪̊	ɾ̪̊	9
˔	˔	8
ʊ̈	ʊ̈	7
ᵊ	ᵊ	6
n̪	n̪	6
t̠͡	t̠͡	6
t̪	t̪	6
ɻ	ɻ	6
ɵ	ɵ	6
ə̃	ə̃	5
æ̃	æ̃	5
p̚	p̚	5
æ̰	æ̰	5
ɚ̯	ɚ̯	5
d̠	d̠	5
ʲ	ʲ	5
i̯	i̯	5
ˑ	ˑ	5
j̊	j̊	5
ɯ	ɯ	4
r	r	4
t̬	t̬	4
z̥	z̥	4
ʌ̃	ʌ̃	4
m̥	m̥	4
ʊ̯̃	ʊ̯̃	4
χ	χ	4
ɛ̃	ɛ̃	3
ẽ	ẽ	3
k̚	k̚	3
⁓	⁓	3
ð	ð	3
 ̝	 ̝	3
ĩ	ĩ	3
ɘ	ɘ	3
d̠͡	d̠͡	3
l̪	l̪	3
ɦ	ɦ	3
ŏ	ŏ	3
ʍ	ʍ	3
ɔ̹	ɔ̹	2
~	~	2
u̯	u̯	2
d̥	d̥	2
d̚	d̚	2
˦	˦	2
˨	˨	2
ə̆	ə̆	2
æ̝	æ̝	2
ʁ	ʁ	2
ø	ø	2
ã	ã	2
ʼ	ʼ	2
ɸ	ɸ	2
ˠ	ˠ	2
ʔ̚	ʔ̚	2
ǀ	ǀ	2
y	y	2
ĭ̥	ĭ̥	2
ŭ̥	ŭ̥	2
ʊ̠	ʊ̠	2
d̥̚	d̥̚	1
ɨ̞	ɨ̞	1
ɖ	ɖ	1
ʏ	ʏ	1
k̠	k̠	1
ɑ̟	ɑ̟	1
ˡ	ˡ	1
e̯	e̯	1
j̥	j̥	1
æ̙	æ̙	1
ɪ̃	ɪ̃	1
ʉ̃͡	ʉ̃͡	1
ˤ	ˤ	1
ɛ̈	ɛ̈	1
n̠	n̠	1
ɽ	ɽ	1
ə̯̃	ə̯̃	1
ɕ	ɕ	1
ʟ̩	ʟ̩	1
q	q	1
ɚ̹	ɚ̹	1
ŋ̍	ŋ̍	1
v̥	v̥	1
o̞	o̞	1
e̞	e̞	1
u̥	u̥	1
˥	˥	1
˩	˩	1
ɫ̥	ɫ̥	1
ö̞	ö̞	1
b̚	b̚	1
r̩	r̩	1
l͡	l͡	1
ʱ	ʱ	1
t̠̚	t̠̚	1
b̥	b̥	1
ɨ̃	ɨ̃	1
ɹ̝̊	ɹ̝̊	1
ü	ü	1
ʌ᷈	ʌ᷈	1
ɪ̞	ɪ̞	1
ɽ̃	ɽ̃	1
ɑ̃	ɑ̃	1
d̪	d̪	1
ⁿ	ⁿ	1
ă	ă	1
