Grapheme	mapping	frequency
 	 	378062
ʁ	ʁ	39588
a	a	31971
i	i	27264
e	e	24308
s	s	22287
t	t	22124
l	l	16428
ɛ	ɛ	15961
k	k	14329
ɔ	ɔ	14120
m	m	12023
j	j	11537
n	n	11333
p	p	10871
d	d	10582
ɑ̃	ɑ̃	9817
b	b	8414
ɔ̃	ɔ̃	8187
y	y	7618
z	z	7345
f	f	6515
ə	ə	5656
v	v	5540
ɡ	ɡ	5154
ʒ	ʒ	4875
u	u	4371
ɛ̃	ɛ̃	3368
ɑ	ɑ	3318
o	o	3183
ʃ	ʃ	3030
w	w	2194
œ	œ	1408
ø	ø	1137
ɥ	ɥ	995
ɲ	ɲ	780
‿	‿	140
ŋ	ŋ	91
œ̃	œ̃	65
ː	ː	44
r	r	20
ɪ	ɪ	15
h	h	14
ã	ã	12
æ	æ	10
ɾ	ɾ	9
d͡	d͡	7
ʊ	ʊ	7
x	x	6
õ	õ	5
ɛ̯	ɛ̯	5
t͡	t͡	5
ʏ	ʏ	4
ẽ	ẽ	3
ħ	ħ	3
ɹ	ɹ	2
ɒ	ɒ	2
ʔ	ʔ	2
ɚ	ɚ	2
ä	ä	2
p̚	p̚	2
ʎ	ʎ	2
ʲ	ʲ	1
ʌ	ʌ	1
ɜ	ɜ	1
ɶ̝	ɶ̝	1
ɳ	ɳ	1
χ	χ	1
ʊ̯̃	ʊ̯̃	1
ĩ	ĩ	1
ᵑ	ᵑ	1
æ̃	æ̃	1
 ̃	 ̃	1
˞	˞	1
