Grapheme	mapping	frequency
t	t	24915
a	a	22894
n	n	22044
ː	ː	20427
ɪ	ɪ	16894
ə	ə	14472
l	l	14354
s	s	13710
̯	̯	12115
ɛ	ɛ	10355
k	k	10129
ʁ	ʁ	9957
f	f	9332
ɐ	ɐ	8668
ʊ	ʊ	7864
ʃ	ʃ	7582
m	m	6987
b	b	6620
i	i	6213
ɡ	ɡ	5967
p	p	5919
c	c	5619
̧	̧	5619
e	e	4918
o	o	4912
d	d	4845
v	v	4647
z	z	4490
ɔ	ɔ	4339
̩	̩	4009
ʀ	ʀ	3599
ŋ	ŋ	3262
͡	͡	3239
h	h	3148
u	u	2532
ʔ	ʔ	2079
ʏ	ʏ	1742
y	y	1584
r	r	1331
x	x	1301
ø	ø	725
j	j	654
œ	œ	586
χ	χ	434
ʰ	ʰ	41
ɱ	ɱ	35
̍	̍	19
͜	͜	11
ɘ	ɘ	6
̃	̃	5
ɑ	ɑ	4
̥	̥	4
̊	̊	4
ɒ	ɒ	3
ʋ	ʋ	1
