Grapheme	mapping	frequency
ə	ə	706
ɪ	ɪ	634
t	t	413
k	k	385
d	d	378
s	s	358
ː	ː	345
n	n	326
ɫ	ɫ	308
ʰ	ʰ	303
ɹ	ɹ	256
b	b	244
p	p	218
i	i	213
l	l	200
ɛ	ɛ	190
m	m	183
a	a	171
e	e	164
æ	æ	160
f	f	158
ʊ	ʊ	155
ʃ	ʃ	106
ɑ	ɑ	95
ʌ	ʌ	89
ɒ	ɒ	80
ɡ	ɡ	78
ɾ	ɾ	76
z	z	74
ŋ	ŋ	71
j	j	65
ɔ	ɔ	65
h	h	61
v	v	57
ɪ̯	ɪ̯	55
θ	θ	54
ɐ	ɐ	52
u	u	51
ʔ	ʔ	46
n̩	n̩	45
w	w	43
ʒ	ʒ	40
ɫ̩	ɫ̩	39
o	o	35
ɜ	ɜ	32
ɚ	ɚ	28
ɹ̠	ɹ̠	27
w̥	w̥	26
ʷ	ʷ	25
ʊ̯	ʊ̯	20
l̩	l̩	19
ɱ	ɱ	18
l̥	l̥	17
d͡	d͡	16
ɨ	ɨ	14
t͡	t͡	14
ɹ̠̊	ɹ̠̊	13
ə̥	ə̥	13
u̟	u̟	12
t̠	t̠	11
t̚	t̚	11
ʉ	ʉ	11
ç	ç	10
ɾ̪̊	ɾ̪̊	10
ˀ	ˀ	9
ä	ä	9
m̩	m̩	8
ɝ	ɝ	8
ɹ̥	ɹ̥	8
x	x	8
˔	˔	7
ɪ̈	ɪ̈	7
t̠͡	t̠͡	6
t̪	t̪	6
ð	ð	6
n̪	n̪	5
æ̰	æ̰	5
ʲ	ʲ	5
i̯	i̯	5
ɾ̃	ɾ̃	5
ɯ	ɯ	4
ᵊ	ᵊ	4
ə̯	ə̯	4
ɵ	ɵ	4
m̥	m̥	4
r	r	3
ʊ̈	ʊ̈	3
⁓	⁓	3
ɚ̯	ɚ̯	3
z̥	z̥	3
ɘ	ɘ	3
ʌ̃	ʌ̃	3
ɪ̃	ɪ̃	3
l̪	l̪	3
ɦ	ɦ	3
ʁ	ʁ	3
p̚	p̚	3
j̊	j̊	3
χ	χ	3
ʉ̯	ʉ̯	2
ɔ̹	ɔ̹	2
~	~	2
ˡ	ˡ	2
ĩ	ĩ	2
d̠	d̠	2
̝	̝	2
d̠͡	d̠͡	2
d̥	d̥	2
d̚	d̚	2
˦	˦	2
˨	˨	2
ø	ø	2
ʼ	ʼ	2
ɑ̃	ɑ̃	2
ɸ	ɸ	2
ˑ	ˑ	2
ǀ	ǀ	2
ɻ	ɻ	2
y	y	2
ĭ̥	ĭ̥	2
ŭ̥	ŭ̥	2
ɥ	ɥ	2
ʊ̆	ʊ̆	2
æ̃	æ̃	1
o̞	o̞	1
ʏ	ʏ	1
k̠	k̠	1
e̯	e̯	1
j̥	j̥	1
æ̙	æ̙	1
ʉ̃͡	ʉ̃͡	1
ˤ	ˤ	1
n̠	n̠	1
ɜ̝	ɜ̝	1
u̯	u̯	1
q	q	1
ŋ̍	ŋ̍	1
ɔ̃	ɔ̃	1
˞	˞	1
k̚	k̚	1
u̥	u̥	1
˥	˥	1
˩	˩	1
b̚	b̚	1
r̩	r̩	1
b̥	b̥	1
ɹ̝̊	ɹ̝̊	1
ɛ̃	ɛ̃	1
ʌ᷈	ʌ᷈	1
ɽ̃	ɽ̃	1
t̬	t̬	1
ʍ	ʍ	1
d̪	d̪	1
ⁿ	ⁿ	1
