Grapheme	mapping	frequency
"
"	"
"	57229
e	e	46409
a	a	40303
i	i	35881
r	r	29061
n	n	29019
o	o	28655
t	t	28001
s	s	26810
l	l	22775
c	c	19136
u	u	15534
d	d	13789
m	m	12861
p	p	12438
h	h	12374
g	g	11319
b	b	9612
y	y	8443
f	f	5786
v	v	4439
k	k	4389
w	w	3884
z	z	1911
x	x	1514
j	j	1165
q	q	947
'	'	340
é	é	119
è	è	25
ö	ö	21
ü	ü	20
ñ	ñ	17
ç	ç	16
ë	ë	15
á	á	13
æ	æ	12
ä	ä	12
ó	ó	10
ê	ê	10
í	í	8
œ	œ	7
â	â	7
ô	ô	7
ú	ú	4
ï	ï	4
č	č	3
ı	ı	3
ṭ	ṭ	2
ʼ	ʼ	2
ū	ū	2
ń	ń	2
ő	ő	2
à	à	2
ù	ù	2
ø	ø	2
õ	õ	2
å	å	2
ð	ð	2
ǃ	ǃ	2
ț	ț	1
ř	ř	1
ą	ą	1
ğ	ğ	1
î	î	1
ō	ō	1
ā	ā	1
ē	ē	1
ș	ș	1
ł	ł	1
ę	ę	1
