Grapheme	mapping	frequency
ɑ	ɑ	65908
i	i	57368
s	s	48297
t	t	46964
n	n	46452
e	e	43440
k	k	37512
o	o	34305
l	l	32708
u	u	32267
r	r	27000
m	m	21856
i̯	i̯	19927
ʋ	ʋ	16947
h	h	16738
p	p	16677
æ	æ	16521
y	y	11073
j	j	8659
tː	tː	8652
ɑː	ɑː	5900
kː	kː	5805
lː	lː	5260
eˣ	eˣ	5186
d	d	4925
uː	uː	4923
iː	iː	4501
u̯	u̯	4439
ø	ø	3727
o̯	o̯	3517
ɑˣ	ɑˣ	2804
nː	nː	2677
e̯	e̯	2509
æː	æː	2223
pː	pː	2014
ɡ	ɡ	1687
iˣ	iˣ	1611
ŋ	ŋ	1600
eː	eː	1519
yː	yː	1502
sː	sː	1442
ɑːˣ	ɑːˣ	1437
ø̯	ø̯	1322
mː	mː	1246
b	b	1147
æˣ	æˣ	1133
f	f	1126
y̯	y̯	1116
æːˣ	æːˣ	773
rː	rː	736
oː	oː	709
ŋː	ŋː	480
ʃ	ʃ	149
øː	øː	100
fː	fː	84
w	w	40
uˣ	uˣ	33
i̯ː	i̯ː	30
oˣ	oˣ	26
ɡː	ɡː	21
ʒ	ʒ	21
z	z	16
yˣ	yˣ	16
dː	dː	13
bː	bː	11
i̯ˣ	i̯ˣ	6
o̯ˣ	o̯ˣ	5
e̯ː	e̯ː	4
ʔ	ʔ	3
e̯ˣ	e̯ˣ	3
ʃː	ʃː	3
ø̯ˣ	ø̯ˣ	3
øˣ	øˣ	3
t͡ʃ	t͡ʃ	2
hː	hː	2
y̯ˣ	y̯ˣ	2
eːˣ	eːˣ	2
ɤ	ɤ	2
c	c	1
sˣ	sˣ	1
nˣ	nˣ	1
jː	jː	1
