Grapheme	mapping	frequency
ʁ	ʁ	39588
a	a	31985
i	i	27265
e	e	24311
ɔ	ɔ	22307
s	s	22287
t	t	22129
̃	̃	21461
ɛ	ɛ	19334
l	l	16428
k	k	14329
ɑ	ɑ	13135
m	m	12023
j	j	11537
n	n	11333
p	p	10873
d	d	10589
b	b	8414
y	y	7618
z	z	7345
f	f	6515
ə	ə	5656
v	v	5540
ɡ	ɡ	5154
ʒ	ʒ	4875
u	u	4371
o	o	3188
ʃ	ʃ	3030
w	w	2194
œ	œ	1473
ø	ø	1137
ɥ	ɥ	995
ɲ	ɲ	780
‿	‿	140
ŋ	ŋ	91
ː	ː	44
r	r	20
ɪ	ɪ	15
h	h	14
͡	͡	12
æ	æ	11
ɾ	ɾ	9
ʊ	ʊ	8
̯	̯	6
x	x	6
ʏ	ʏ	4
ħ	ħ	3
ɹ	ɹ	2
ɒ	ɒ	2
ʔ	ʔ	2
ɚ	ɚ	2
̈	̈	2
̚	̚	2
ʎ	ʎ	2
ʲ	ʲ	1
ʌ	ʌ	1
ɜ	ɜ	1
ɶ	ɶ	1
̝	̝	1
ɳ	ɳ	1
χ	χ	1
ᵑ	ᵑ	1
˞	˞	1
