Grapheme	mapping	frequency
ʁ	ʁ	39588
a	a	31971
i	i	27261
e	e	24308
s	s	22284
t	t	22124
l	l	16427
ɛ	ɛ	15933
k	k	14328
ɔ	ɔ	14117
m	m	12023
j	j	11537
n	n	11333
p	p	10871
d	d	10582
ɑ̃	ɑ̃	9817
b	b	8414
ɔ̃	ɔ̃	8188
y	y	7618
z	z	7342
f	f	6515
ə	ə	5656
v	v	5540
ɡ	ɡ	5154
ʒ	ʒ	4871
u	u	4370
ɛ̃	ɛ̃	3367
ɑ	ɑ	3315
o	o	3183
ʃ	ʃ	3028
w	w	2194
œ	œ	1407
ø	ø	1137
ɥ	ɥ	995
ɲ	ɲ	780
‿	‿	140
ŋ	ŋ	91
œ̃	œ̃	65
ɛː	ɛː	28
r	r	20
ɪ	ɪ	15
h	h	14
ã	ã	12
ɾ	ɾ	9
æ	æ	8
x	x	6
õ	õ	5
ɛ̯	ɛ̯	5
ʊ	ʊ	5
ʏ	ʏ	4
d͡ʒ	d͡ʒ	4
ɑː	ɑː	3
d͡z	d͡z	3
ẽ	ẽ	3
iː	iː	3
ħ	ħ	3
t͡s	t͡s	3
ɹ	ɹ	2
ɒ	ɒ	2
ɔː	ɔː	2
t͡ʃ	t͡ʃ	2
ʊː	ʊː	2
ʔ	ʔ	2
ɚ	ɚ	2
æː	æː	2
ä	ä	2
p̚	p̚	2
ʎ	ʎ	2
kʲ	kʲ	1
ʌ	ʌ	1
ɜ	ɜ	1
uː	uː	1
œː	œː	1
ɶ̝	ɶ̝	1
lː	lː	1
ɳ	ɳ	1
χ	χ	1
ɛ̃ː	ɛ̃ː	1
ʊ̯̃	ʊ̯̃	1
ĩᵑ	ĩᵑ	1
æ̃	æ̃	1
˞	˞	1
