Grapheme	mapping	frequency
a̠	a̠	15064
i	i	13268
k	k	9506
o̞	o̞	7976
ɯ̟ᵝ	ɯ̟ᵝ	7459
o̞ː	o̞ː	4750
s	s	4559
e̞	e̞	4180
ɕ	ɕ	3990
ɾ	ɾ	3964
t	t	3933
ɨᵝ	ɨᵝ	3764
m	m	3719
n	n	3007
kʲ	kʲ	2858
ɡ	ɡ	2790
ɴ	ɴ	2511
t͡s	t͡s	2036
ẽ̞	ẽ̞	1993
b	b	1992
d	d	1935
ã̠	ã̠	1896
j	j	1791
h	h	1762
ɾʲ	ɾʲ	1743
e̞ː	e̞ː	1612
t͡ɕ	t͡ɕ	1560
ĩ	ĩ	1388
ɲ̟	ɲ̟	1153
ɰ̃	ɰ̃	1069
ɨᵝː	ɨᵝː	1043
ʑ	ʑ	1014
mʲ	mʲ	991
z	z	962
d͡ʑ	d͡ʑ	909
ɰᵝ	ɰᵝ	780
ç	ç	748
õ̞	õ̞	710
ŋ	ŋ	708
ɸ	ɸ	640
ɡʲ	ɡʲ	605
bʲ	bʲ	468
d͡z	d͡z	451
ɯ̟ᵝː	ɯ̟ᵝː	392
i̥	i̥	335
ɯ̟̃ᵝ	ɯ̟̃ᵝ	329
p	p	329
k̚	k̚	322
ɯ̟̊ᵝ	ɯ̟̊ᵝ	320
t̚	t̚	262
ŋʲ	ŋʲ	252
iː	iː	173
ɨ̥ᵝ	ɨ̥ᵝ	144
p̚	p̚	140
mː	mː	134
sː	sː	117
nː	nː	116
ɕː	ɕː	108
ɨ̃ᵝ	ɨ̃ᵝ	107
k̚ʲ	k̚ʲ	104
pʲ	pʲ	62
mʲː	mʲː	29
a̠ː	a̠ː	25
p̚ʲ	p̚ʲ	21
