Grapheme	mapping	frequency
"
"	"
"	5267
ー	ー	2612
ン	ン	1933
ス	ス	1167
ト	ト	960
ル	ル	928
イ	イ	833
ッ	ッ	812
ラ	ラ	732
リ	リ	720
ア	ア	671
ク	ク	671
シ	シ	542
フ	フ	501
タ	タ	480
レ	レ	419
ド	ド	418
カ	カ	410
ロ	ロ	381
プ	プ	380
テ	テ	375
チ	チ	357
ジ	ジ	352
ム	ム	345
ィ	ィ	332
グ	グ	328
キ	キ	327
マ	マ	323
コ	コ	314
バ	バ	313
ウ	ウ	307
ャ	ャ	300
オ	オ	298
エ	エ	288
パ	パ	288
ブ	ブ	282
ュ	ュ	264
ニ	ニ	262
デ	デ	257
サ	サ	237
ナ	ナ	224
ビ	ビ	214
メ	メ	198
ミ	ミ	191
ョ	ョ	178
ボ	ボ	174
ピ	ピ	171
ェ	ェ	167
ダ	ダ	162
モ	モ	154
ハ	ハ	153
セ	セ	143
ズ	ズ	141
ポ	ポ	134
ネ	ネ	133
ワ	ワ	130
ガ	ガ	130
ペ	ペ	124
ケ	ケ	123
ツ	ツ	123
ベ	ベ	120
ホ	ホ	118
ノ	ノ	116
ソ	ソ	114
ァ	ァ	104
ォ	ォ	85
ゲ	ゲ	68
ギ	ギ	67
ヤ	ヤ	63
ゴ	ゴ	61
・	・	54
ヒ	ヒ	53
ヘ	ヘ	48
ザ	ザ	47
ユ	ユ	45
ゼ	ゼ	41
ヴ	ヴ	33
ヌ	ヌ	31
ゾ	ゾ	30
ヨ	ヨ	28
ゥ	ゥ	13
ヂ	ヂ	8
ヰ	ヰ	5
ヸ	ヸ	4
ヮ	ヮ	3
ヅ	ヅ	3
ヲ	ヲ	3
ヱ	ヱ	1
ヷ	ヷ	1
ヹ	ヹ	1
ヺ	ヺ	1
