Grapheme	mapping	frequency
a̠	a̠	12954
ʰ	ʰ	9062
i	i	7446
ʌ̹	ʌ̹	5625
n	n	5469
o̞	o̞	4654
u	u	4635
m	m	4531
ŋ	ŋ	4476
ɕ	ɕ	3722
t͡	t͡	3538
k	k	3450
j	j	3446
ɯ	ɯ	3376
s	s	3336
d	d	3262
ɭ	ɭ	3113
ː	ː	3009
p	p	2892
ɾ	ɾ	2829
ɡ	ɡ	2455
ɛ	ɛ	2317
k̚	k̚	2278
t	t	2259
e̞	e̞	2141
ʑ	ʑ	2057
d͡	d͡	2056
w	w	1541
b	b	1256
ɦ	ɦ	1178
ɲ	ɲ	951
k͈	k͈	929
ɕ͈	ɕ͈	835
ʎ	ʎ	834
p̚	p̚	823
t͈	t͈	817
t̚	t̚	754
p͈	p͈	654
s͈	s͈	645
ɘ	ɘ	544
o	o	516
h	h	473
ç	ç	383
ɥ	ɥ	380
ɸ	ɸ	344
β	β	319
x	x	273
ɰ	ɰ	148
ʷ	ʷ	148
ʝ	ʝ	147
ɣ	ɣ	24
ʃ	ʃ	12
ɤ̘	ɤ̘	4
ɐ	ɐ	4
~	~	4
ɨ	ɨ	3
ʌ	ʌ	2
ɛ̝	ɛ̝	2
ə	ə	2
ɔ	ɔ	2
y	y	1
ɪ	ɪ	1
ũ	ũ	1
a	a	1
d̬	d̬	1
ɘ̝	ɘ̝	1
ɤ	ɤ	1
