Grapheme	mapping	frequency
a̠	a̠	11044
i	i	6118
ʌ̹	ʌ̹	5023
n	n	4759
m	m	3936
u	u	3898
o̞	o̞	3780
ŋ	ŋ	3658
j	j	2976
ɯ	ɯ	2973
d	d	2769
sʰ	sʰ	2764
ɭ	ɭ	2692
ɾ	ɾ	2436
k	k	2277
ɡ	ɡ	1995
k̚	k̚	1904
d͡ʑ	d͡ʑ	1796
e̞	e̞	1742
w	w	1337
p	p	1319
t͡ɕʰ	t͡ɕʰ	1288
t͡ɕ	t͡ɕ	1245
pʰ	pʰ	1195
tʰ	tʰ	1191
b	b	1051
ɦ	ɦ	950
ɲ	ɲ	849
k͈	k͈	774
ʎ	ʎ	770
ɕʰ	ɕʰ	768
t	t	766
p̚	p̚	738
t͈	t͈	723
t̚	t̚	654
a̠ː	a̠ː	621
kʰ	kʰ	617
p͈	p͈	570
t͡ɕ͈	t͡ɕ͈	556
s͈	s͈	510
ɘː	ɘː	481
o	o	427
h	h	384
o̞ː	o̞ː	367
ɛː	ɛː	338
ɥ	ɥ	335
iː	iː	309
β	β	275
uː	uː	268
e̞ː	e̞ː	250
x	x	249
ɸ	ɸ	174
ɕ͈	ɕ͈	150
ɰ	ɰ	142
ʝ	ʝ	140
ɸʷ	ɸʷ	136
ɯː	ɯː	58
oː	oː	46
ɣ	ɣ	22
ʃʰ	ʃʰ	11
