Grapheme	mapping	frequency
"
"	"
"	16401
다	다	2511
하	하	1093
이	이	809
리	리	793
기	기	595
지	지	524
사	사	506
아	아	495
자	자	489
스	스	485
가	가	447
어	어	430
수	수	346
시	시	326
고	고	309
부	부	298
라	라	295
인	인	283
대	대	283
마	마	280
도	도	280
구	구	276
비	비	270
르	르	264
나	나	253
주	주	252
오	오	251
로	로	248
소	소	244
장	장	233
치	치	229
미	미	221
트	트	220
전	전	219
성	성	218
무	무	214
정	정	211
바	바	193
개	개	190
우	우	186
물	물	183
보	보	182
학	학	182
서	서	181
니	니	180
동	동	179
일	일	179
화	화	178
조	조	174
그	그	174
모	모	170
상	상	170
제	제	169
방	방	164
유	유	162
드	드	157
해	해	156
국	국	149
신	신	149
의	의	147
원	원	145
적	적	144
음	음	142
공	공	138
파	파	135
세	세	130
크	크	130
교	교	129
두	두	128
거	거	128
레	레	127
반	반	127
생	생	127
경	경	126
관	관	125
타	타	125
카	카	124
루	루	121
발	발	121
중	중	121
여	여	120
선	선	119
불	불	119
한	한	118
프	프	118
계	계	114
산	산	114
포	포	114
노	노	114
문	문	113
실	실	113
체	체	112
연	연	111
러	러	107
식	식	106
차	차	102
내	내	100
위	위	100
안	안	100
명	명	99
간	간	99
피	피	99
진	진	99
래	래	98
석	석	98
양	양	97
버	버	96
회	회	96
남	남	95
말	말	95
만	만	94
단	단	92
금	금	90
요	요	90
매	매	90
토	토	90
히	히	89
호	호	89
과	과	89
감	감	87
심	심	87
강	강	86
통	통	85
분	분	85
살	살	85
저	저	85
용	용	85
들	들	85
락	락	84
질	질	84
터	터	84
망	망	82
복	복	82
배	배	81
재	재	80
천	천	80
야	야	78
집	집	78
당	당	76
민	민	76
코	코	76
백	백	76
글	글	76
작	작	75
애	애	74
영	영	74
근	근	74
행	행	74
되	되	73
박	박	73
티	티	72
새	새	71
디	디	71
초	초	70
슬	슬	70
목	목	70
병	병	70
키	키	69
설	설	69
머	머	69
력	력	69
절	절	68
알	알	68
돌	돌	67
면	면	67
종	종	67
쥐	쥐	66
각	각	66
청	청	66
에	에	66
점	점	65
달	달	64
귀	귀	64
예	예	64
네	네	63
법	법	63
은	은	63
메	메	63
광	광	63
추	추	62
갈	갈	62
테	테	62
탄	탄	61
태	태	60
출	출	60
역	역	60
형	형	60
름	름	59
약	약	59
판	판	58
브	브	57
색	색	57
속	속	57
표	표	57
결	결	56
외	외	56
데	데	55
게	게	55
까	까	55
후	후	55
페	페	55
업	업	54
증	증	54
란	란	54
난	난	53
악	악	53
북	북	53
열	열	53
운	운	52
입	입	52
합	합	52
임	임	52
누	누	50
건	건	50
투	투	50
베	베	50
독	독	49
권	권	49
언	언	48
검	검	48
편	편	48
등	등	47
케	케	46
랑	랑	46
삼	삼	46
환	환	46
평	평	46
날	날	46
순	순	45
린	린	45
참	참	45
삭	삭	45
림	림	44
류	류	44
황	황	44
녀	녀	43
더	더	43
창	창	42
담	담	42
본	본	41
직	직	41
염	염	41
론	론	41
골	골	41
와	와	41
람	람	40
손	손	40
군	군	40
꼬	꼬	40
품	품	39
술	술	39
송	송	39
침	침	38
별	별	38
울	울	38
월	월	38
너	너	38
푸	푸	38
승	승	38
년	년	38
현	현	38
팔	팔	38
플	플	38
꾸	꾸	37
벌	벌	37
럽	럽	37
끼	끼	37
암	암	37
습	습	37
접	접	36
료	료	36
변	변	36
처	처	36
흰	흰	36
려	려	36
급	급	36
필	필	36
눈	눈	36
밀	밀	36
량	량	35
곡	곡	35
극	극	35
워	워	35
럭	럭	35
줄	줄	35
견	견	35
풍	풍	35
격	격	34
책	책	34
얼	얼	34
함	함	34
왕	왕	34
록	록	33
향	향	33
십	십	33
탈	탈	33
철	철	32
잡	잡	32
혼	혼	32
항	항	32
빠	빠	32
친	친	32
따	따	31
숙	숙	31
충	충	31
커	커	31
족	족	30
육	육	30
번	번	30
큰	큰	30
련	련	29
축	축	29
둥	둥	29
온	온	29
폭	폭	29
잔	잔	29
능	능	28
령	령	28
납	납	28
풀	풀	28
쟁	쟁	28
취	취	28
깨	깨	28
존	존	28
막	막	27
없	없	27
둑	둑	27
쓰	쓰	27
싸	싸	27
걸	걸	27
립	립	27
허	허	27
움	움	27
쇠	쇠	27
콜	콜	27
옥	옥	26
응	응	26
굴	굴	26
씨	씨	26
답	답	26
욕	욕	26
활	활	26
총	총	26
범	범	26
확	확	26
논	논	25
틀	틀	25
희	희	25
블	블	25
채	채	24
봉	봉	24
죽	죽	24
꿈	꿈	24
롱	롱	24
패	패	24
