Grapheme	mapping	frequency
a̠	a̠	12277
i	i	7097
ʌ̹	ʌ̹	5625
n	n	5469
m	m	4531
ŋ	ŋ	4476
u	u	4344
o̞	o̞	4255
j	j	3446
ɯ	ɯ	3315
sʰ	sʰ	3288
d	d	3262
ɭ	ɭ	3113
ɾ	ɾ	2829
k	k	2737
ɡ	ɡ	2455
k̚	k̚	2278
d͡ʑ	d͡ʑ	2056
ɛ	ɛ	1954
e̞	e̞	1871
w	w	1541
p	p	1538
t͡ɕʰ	t͡ɕʰ	1465
t͡ɕ	t͡ɕ	1404
tʰ	tʰ	1379
pʰ	pʰ	1354
b	b	1256
ɦ	ɦ	1178
ɲ	ɲ	951
k͈	k͈	929
t	t	880
ɕʰ	ɕʰ	852
ʎ	ʎ	834
p̚	p̚	823
t͈	t͈	817
t̚	t̚	754
kʰ	kʰ	713
a̠ː	a̠ː	677
t͡ɕ͈	t͡ɕ͈	669
p͈	p͈	654
s͈	s͈	645
ɘː	ɘː	544
h	h	473
o	o	461
o̞ː	o̞ː	399
ç	ç	383
ɥ	ɥ	380
ɛː	ɛː	363
iː	iː	349
β	β	319
uː	uː	291
x	x	273
e̞ː	e̞ː	270
ɸ	ɸ	196
ɕ͈	ɕ͈	166
ɰ	ɰ	148
ɸʷ	ɸʷ	148
ʝ	ʝ	147
ɯː	ɯː	61
oː	oː	55
s	s	48
ɣ	ɣ	24
ʃʰ	ʃʰ	11
ɤ̘	ɤ̘	4
ɐ	ɐ	4
~	~	4
ɨ	ɨ	3
ʌ	ʌ	2
ɛ̝	ɛ̝	2
ə	ə	2
ɔ	ɔ	2
y	y	1
ɪ	ɪ	1
ʑ	ʑ	1
ũ	ũ	1
ɕ	ɕ	1
a	a	1
d̬	d̬	1
ʃ	ʃ	1
ɘ̝	ɘ̝	1
ɤ	ɤ	1
