Grapheme	mapping	frequency
"
"	"
"	4630
း	း	2200
ာ	ာ	1889
င်	င်	905
က်	က်	547
အ	အ	531
န်	န်	520
ရ	ရ	398
မ	မ	392
သ	သ	374
တ	တ	348
ါ	ါ	345
က	က	330
တ်	တ်	329
ပ	ပ	323
လ	လ	317
စ	စ	303
ပ်	ပ်	283
န	န	243
ဝ	ဝ	200
ည်	ည်	173
မ်	မ်	173
စ်	စ်	166
ယ	ယ	165
ယ်	ယ်	157
ာ်	ာ်	153
ဒ	ဒ	132
ခ	ခ	128
တေ	တေ	126
ရေ	ရေ	125
ဆ	ဆ	116
ဂ	ဂ	112
ပြ	ပြ	107
သူ	သူ	98
ဘ	ဘ	97
ဇ	ဇ	93
လေ	လေ	92
ကြ	ကြ	88
ကေ	ကေ	86
သီ	သီ	82
ထ	ထ	75
ရှ	ရှ	75
ချ	ချ	71
င	င	71
ဓ	ဓ	71
ဟ	ဟ	69
ဖ	ဖ	67
ကြီ	ကြီ	65
တို	တို	64
င်္	င်္	64
မေ	မေ	62
န္	န္	60
မု	မု	57
ကျ	ကျ	57
ဘု	ဘု	56
ပေ	ပေ	56
ဆေ	ဆေ	54
တ္	တ္	53
ဥ	ဥ	53
သု	သု	53
ည	ည	52
ဆို	ဆို	52
ဉ်	ဉ်	52
မီ	မီ	52
ရီ	ရီ	50
ပု	ပု	50
ကို	ကို	49
နီ	နီ	49
က္	က္	49
မြ	မြ	49
ဗေ	ဗေ	47
ခေ	ခေ	46
င့်	င့်	46
သေ	သေ	46
နှ	နှ	46
တိ	တိ	44
ဏ	ဏ	44
န့်	န့်	44
ရိ	ရိ	44
တီ	တီ	43
ကွ	ကွ	42
ကျေ	ကျေ	42
ရု	ရု	42
နေ	နေ	41
မှ	မှ	41
ရို	ရို	40
ဘေ	ဘေ	40
ကု	ကု	39
လိ	လိ	39
ဒီ	ဒီ	39
အိ	အိ	39
လီ	လီ	38
ဗ	ဗ	37
သိ	သိ	37
ကြေ	ကြေ	36
ဆီ	ဆီ	36
ပို	ပို	36
ထေ	ထေ	35
သံ	သံ	35
မ္	မ္	34
ခွ	ခွ	34
ာ့	ာ့	33
လို	လို	33
လ်	လ်	33
ဒေ	ဒေ	33
စ္	စ္	32
တံ	တံ	31
စီ	စီ	30
လုံ	လုံ	30
မိ	မိ	30
လူ	လူ	29
ခြ	ခြ	28
မို	မို	28
စိ	စိ	28
စု	စု	28
ခံ	ခံ	28
နို	နို	27
ဝိ	ဝိ	27
လျ	လျ	27
ပူ	ပူ	27
ဿ	ဿ	27
အေ	အေ	27
ချေ	ချေ	26
ရွ	ရွ	26
ရဲ	ရဲ	26
မျ	မျ	25
ရုံ	ရုံ	25
ဂျ	ဂျ	25
ထို	ထို	25
တု	တု	25
မျို	မျို	25
မြေ	မြေ	25
ဗို	ဗို	24
လု	လု	24
တူ	တူ	24
ခြေ	ခြေ	23
ဏ္	ဏ္	23
ဆိ	ဆိ	23
သွ	သွ	23
ါ်	ါ်	23
ဒ္	ဒ္	23
နေ့	နေ့	22
ဘီ	ဘီ	22
ကူ	ကူ	22
အို	အို	22
မှု	မှု	22
ဦ	ဦ	22
ပုံ	ပုံ	21
ဝေ	ဝေ	21
