Grapheme	mapping	frequency
ʲ	ʲ	564661
ɪ	ɪ	364331
ə	ə	320688
r	r	214704
s	s	208550
ɐ	ɐ	203935
t	t	197155
j	j	160578
n	n	158795
v	v	139905
a	a	134503
m	m	132493
p	p	128935
k	k	121443
ɨ	ɨ	118454
ʊ	ʊ	98307
l	l	83435
ɫ	ɫ	82287
e	e	81955
d	d	74963
i	i	72366
z	z	71874
t͡	t͡	71083
f	f	60728
ʂ	ʂ	60008
o	o	56596
ɕ	ɕ	55043
b	b	53840
ɡ	ɡ	47056
x	x	39379
ː	ː	39146
u	u	33947
ʐ	ʐ	26858
æ	æ	17860
ɵ	ɵ	14583
ʉ	ʉ	11121
⁽	⁽	10453
⁾	⁾	10453
ɛ	ɛ	9233
d͡	d͡	1364
ʑ	ʑ	714
ʔ	ʔ	136
ɣ	ɣ	124
m̥	m̥	2
m̩	m̩	2
ɛ̠	ɛ̠	2
ə̃	ə̃	2
u̯	u̯	2
ʕ	ʕ	1
ɑ	ɑ	1
‿	‿	1
ˑ	ˑ	1
ɦ	ɦ	1
ʙ	ʙ	1
