Grapheme	mapping	frequency
a	a	82401
o	o	44928
̪	̪	42647
e	e	42000
s	s	35769
i	i	32922
ð	ð	29939
t	t	28194
ɾ	ɾ	24566
n	n	23038
̃	̃	19302
k	k	16226
l	l	15302
m	m	14389
r	r	10826
u	u	10452
p	p	10221
β	β	10000
θ	θ	9839
d	d	7526
j	j	6957
ɣ	ɣ	6350
f	f	4890
b	b	4150
x	x	3504
̯	̯	2609
ŋ	ŋ	2455
w	w	2274
͡	͡	1725
ɡ	ɡ	1642
ʃ	ʃ	1622
̟	̟	1290
ʎ	ʎ	1208
z	z	1097
ɲ	ɲ	798
ʝ	ʝ	748
ɱ	ɱ	641
̞	̞	455
ʲ	ʲ	247
ɟ	ɟ	237
̠	̠	163
̬	̬	90
̈	̈	32
v	v	8
ɰ	ɰ	7
h	h	5
ɬ	ɬ	4
ɛ	ɛ	2
̊	̊	2
́	́	2
ʒ	ʒ	2
ː	ː	1
ə	ə	1
ɹ	ɹ	1
ɪ	ɪ	1
ʊ	ʊ	1
c	c	1
̧	̧	1
ɑ	ɑ	1
ɦ	ɦ	1
