Grapheme	mapping	frequency
"
"	"
"	15049
า	า	7751
ก	ก	4257
ร	ร	4220
เ	เ	4214
น	น	4065
อ	อ	3879
ง	ง	3130
ม	ม	3038
ย	ย	2562
ว	ว	2312
ส	ส	1724
ด	ด	1678
ะ	ะ	1639
ล	ล	1626
ห	ห	1619
บ	บ	1576
ค	ค	1555
ต	ต	1399
แ	แ	1303
ป	ป	1125
โ	โ	1073
ท	ท	1016
พ	พ	941
ไ	ไ	839
จ	จ	655
ช	ช	630
ร์	ร์	453
ศ	ศ	436
ข	ข	409
ใ	ใ	392
รั	รั	307
ษ	ษ	293
รี	รี	282
ญ	ญ	279
ติ	ติ	269
ริ	ริ	263
ณ	ณ	261
ฟ	ฟ	261
ซ	ซ	248
วิ	วิ	244
ถ	ถ	234
ภ	ภ	231
นั	นั	229
สั	สั	224
น้ำ	น้ำ	218
ธ	ธ	208
ลั	ลั	197
ข้	ข้	196
นิ	นิ	196
บั	บั	192
วั	วั	192
ย์	ย์	176
ดี	ดี	172
ร้	ร้	165
ตั	ตั	162
ผ	ผ	157
สิ	สิ	152
ม่	ม่	151
อั	อั	150
ลิ	ลิ	150
ล่	ล่	149
ล้	ล้	148
ม้	ม้	143
มั	มั	143
น้	น้	137
กั	กั	136
นี	นี	131
พิ	พิ	127
ต้	ต้	127
ร่	ร่	125
กิ	กิ	121
สุ	สุ	120
มิ	มิ	120
ต์	ต์	118
จั	จั	116
สี	สี	113
ดิ	ดิ	112
พั	พั	110
ลู	ลู	108
ฐ	ฐ	107
ฤ	ฤ	107
บุ	บุ	104
อุ	อุ	104
ธิ	ธิ	103
ฉ	ฉ	103
ผู้	ผู้	102
น่	น่	101
มื	มื	100
ลี	ลี	99
ต่	ต่	98
ลื	ลื	96
ทั	ทั	96
นุ	นุ	93
มี	มี	93
หั	หั	92
ที่	ที่	92
รุ	รุ	89
ก้	ก้	89
ฮ	ฮ	89
จ้	จ้	88
รื่	รื่	86
ว่	ว่	84
ห้	ห้	83
ซี	ซี	83
มุ	มุ	81
ชี	ชี	80
หิ	หิ	80
ปั	ปั	79
ส้	ส้	78
น์	น์	75
อิ	อิ	75
ก่	ก่	74
ข่	ข่	74
ดั	ดั	73
ดู	ดู	73
ค์	ค์	69
ณ์	ณ์	69
ทิ	ทิ	68
ชิ	ชิ	68
ล็	ล็	67
บิ	บิ	67
กุ	กุ	66
ด้	ด้	65
ช่	ช่	65
รู	รู	65
วี	วี	63
ตุ	ตุ	63
ยุ	ยุ	63
ฟ้	ฟ้	62
ท่	ท่	61
ท้	ท้	61
ส่	ส่	61
จิ	จิ	61
ค้	ค้	59
ชั	ชั	59
ช้	ช้	57
รื	รื	55
มู	มู	55
ที	ที	54
จุ	จุ	54
ลี่	ลี่	54
ศั	ศั	54
ขั	ขั	53
บ้	บ้	53
ซิ	ซิ	52
ทุ	ทุ	52
กำ	กำ	52
ขี้	ขี้	52
จำ	จำ	52
ปิ	ปิ	51
สื	สื	50
ฝ	ฝ	50
ย่	ย่	50
ภู	ภู	50
ส์	ส์	50
ว์	ว์	49
ข็	ข็	48
ห์	ห์	48
คุ	คุ	48
อ่	อ่	46
ว้	ว้	45
ยั	ยั	45
ตี	ตี	45
สู	สู	44
ห่	ห่	44
ฎ	ฎ	43
ป่	ป่	43
ทำ	ทำ	43
กี	กี	43
คำ	คำ	43
บี	บี	43
ฆ	ฆ	43
ป็	ป็	43
ณี	ณี	42
ฟั	ฟั	42
ปี	ปี	42
ด็	ด็	41
ลุ	ลุ	41
ฏิ	ฏิ	41
ค่	ค่	41
ภั	ภั	40
ด์	ด์	40
คั	คั	39
ลื่	ลื่	39
ร็	ร็	39
จี	จี	38
ยิ	ยิ	38
สำ	สำ	38
ถุ	ถุ	38
ผ่	ผ่	37
ผิ	ผิ	37
ดำ	ดำ	36
ถ่	ถ่	36
ป้	ป้	36
สี่	สี่	36
ผ้	ผ้	35
ซั	ซั	34
ลำ	ลำ	33
ล์	ล์	33
บู	บู	33
ก็	ก็	33
ชื่	ชื่	33
พี	พี	33
ผั	ผั	32
ธ์	ธ์	31
ญ่	ญ่	31
ฬ	ฬ	31
ทู	ทู	31
บ่	บ่	31
ลี้	ลี้	31
นู	นู	30
ดุ	ดุ	30
ภิ	ภิ	30
ห็	ห็	30
ผี	ผี	30
