Grapheme	mapping	frequency
i	i	1030
ɑ	ɑ	864
ɾ	ɾ	763
n	n	758
m	m	717
a	a	716
e	e	699
t	t	613
k	k	595
s	s	505
ɫ	ɫ	477
d	d	476
ɛ	ɛ	408
ɯ	ɯ	407
l	l	393
ʃ	ʃ	382
j	j	374
u	u	325
o	o	323
c	c	283
b	b	282
y	y	256
z	z	254
ʒ	ʒ	229
ː	ː	210
p	p	176
h	h	150
ɔ	ɔ	141
t͡	t͡	125
v	v	121
f	f	119
ɟ	ɟ	113
d͡	d͡	103
r	r	76
ɡ	ɡ	73
ɰ	ɰ	59
ʊ	ʊ	54
ø	ø	51
ʋ	ʋ	40
œ	œ	39
β	β	38
ʐ	ʐ	30
æ	æ	25
ʏ	ʏ	25
ɪ	ɪ	22
ɶ	ɶ	17
ə	ə	16
á	á	15
o̞	o̞	13
ä	ä	12
e̞	e̞	12
t̪	t̪	11
ɾ̝̊	ɾ̝̊	10
í	í	10
ú	ú	9
ɳ	ɳ	9
ó	ó	8
d̪	d̪	7
ŋ	ŋ	7
ɣ	ɣ	6
ʲ	ʲ	6
ɑ̈	ɑ̈	5
ʌ	ʌ	4
n̪	n̪	4
ɑ́	ɑ́	4
ɯ́	ɯ́	3
é	é	3
ɨ	ɨ	3
s̪	s̪	3
ɛ́	ɛ́	2
z̪	z̪	2
ʰ	ʰ	2
ɾ̞	ɾ̞	1
ɾ̥	ɾ̥	1
ɑ̟	ɑ̟	1
ɫ̩	ɫ̩	1
l̠	l̠	1
î	î	1
ɸ	ɸ	1
ɾ̊	ɾ̊	1
a̝	a̝	1
ʔ	ʔ	1
‿	‿	1
p̪	p̪	1
x	x	1
