Grapheme	mapping	frequency
i	i	1041
ɑ	ɑ	874
ɾ	ɾ	776
n	n	762
t	t	749
a	a	744
m	m	717
e	e	714
k	k	595
d	d	586
s	s	508
ɫ	ɫ	478
ɯ	ɯ	410
ɛ	ɛ	410
l	l	394
ʃ	ʃ	382
j	j	374
o	o	344
u	u	334
c	c	283
b	b	282
z	z	256
y	y	256
ʒ	ʒ	229
͡	͡	228
ː	ː	210
p	p	177
h	h	150
ɔ	ɔ	141
v	v	121
f	f	119
ɟ	ɟ	113
r	r	76
ɡ	ɡ	73
ɰ	ɰ	59
́	́	54
ʊ	ʊ	54
ø	ø	51
ʋ	ʋ	40
œ	œ	39
β	β	38
ʐ	ʐ	30
̪	̪	28
̞	̞	26
æ	æ	25
ʏ	ʏ	25
ɪ	ɪ	22
̈	̈	17
ɶ	ɶ	17
ə	ə	16
̝	̝	11
̊	̊	11
ɳ	ɳ	9
ŋ	ŋ	7
ɣ	ɣ	6
ʲ	ʲ	6
ʌ	ʌ	4
ɨ	ɨ	3
ʰ	ʰ	2
̥	̥	1
̟	̟	1
̩	̩	1
̠	̠	1
̂	̂	1
ɸ	ɸ	1
ʔ	ʔ	1
‿	‿	1
x	x	1
