Grapheme	mapping	frequency
ʔ	ʔ	10211
˧˧	˧˧	8132
w	w	8013
ə	ə	7223
ŋ	ŋ	6754
j	j	6574
aː	aː	5780
˨˩	˨˩	5302
˦˧˥	˦˧˥	4547
˦˩	˦˩	4271
˧˨	˧˨	4000
ɨ	ɨ	3662
m	m	2990
k	k	2765
k̚	k̚	2733
i	i	2701
a	a	2558
˨˩˦	˨˩˦	2457
t	t	2356
n	n	2082
ɗ	ɗ	1995
h	h	1912
tʰ	tʰ	1780
o	o	1779
ɓ	ɓ	1751
l	l	1708
ɛ	ɛ	1591
ŋ͡m	ŋ͡m	1564
ɲ	ɲ	1502
ɪ	ɪ	1454
ʊ	ʊ	1452
t͡ɕ	t͡ɕ	1267
ʂ	ʂ	1133
əː	əː	1059
e	e	1053
v	v	1032
ɔ	ɔ	1027
ʈ	ʈ	995
f	f	883
u	u	874
p̚	p̚	783
k͡p̚	k͡p̚	712
t̚	t̚	697
kʰ	kʰ	643
s	s	642
ʐ	ʐ	522
ɣ	ɣ	366
ɹ	ɹ	63
p	p	39
z	z	9
