Grapheme	mapping	frequency
 	 	10811
र	र	1845
न	न	1260
त	त	1188
क	क	1061
ना	ना	964
म	म	942
ल	ल	901
स	स	841
अ	अ	771
र्	र्	632
द	द	620
प	प	611
ह	ह	581
रा	रा	554
ब	ब	531
व	व	510
य	य	503
ता	ता	476
ग	ग	471
स्	स्	464
या	या	440
ज	ज	440
वा	वा	436
का	का	424
ला	ला	391
आ	आ	389
क्	क्	383
मा	मा	373
श	श	362
त्	त्	357
ट	ट	331
री	री	324
ज़	ज़	318
दा	दा	308
प्	प्	287
ति	ति	276
बा	बा	268
नि	नि	250
सा	सा	249
वि	वि	239
ण	ण	235
रि	रि	229
उ	उ	229
च	च	221
क़	क़	200
इ	इ	196
नी	नी	193
ली	ली	191
हा	हा	188
फ़	फ़	174
न्	न्	172
सं	सं	165
ध	ध	164
ड़	ड़	162
मु	मु	160
ख	ख	159
ई	ई	157
द्	द्	157
लि	लि	154
ल्	ल्	151
पा	पा	148
ज़ा	ज़ा	142
ष	ष	141
श्	श्	139
ती	ती	135
चा	चा	135
जा	जा	133
गा	गा	130
सी	सी	124
ड	ड	120
शा	शा	118
रो	रो	116
ख़	ख़	113
थ	थ	108
मि	मि	107
मी	मी	107
दी	दी	105
हि	हि	104
गु	गु	101
भा	भा	99
सि	सि	99
अं	अं	98
भ	भ	97
ष्	ष्	96
ख़ा	ख़ा	96
सु	सु	95
रे	रे	94
शि	शि	94
फ़ा	फ़ा	93
ग्	ग्	92
ब्	ब्	90
क़ा	क़ा	90
पु	पु	85
को	को	83
ठ	ठ	83
दे	दे	83
नु	नु	82
फ	फ	82
धा	धा	81
म्	म्	80
कि	कि	77
बे	बे	77
ड़ा	ड़ा	76
वे	वे	76
ने	ने	76
कु	कु	75
ज्	ज्	75
चि	चि	74
दि	दि	73
व्	व्	73
की	की	71
रू	रू	71
टा	टा	70
रु	रु	70
ज़ी	ज़ी	68
छ	छ	68
ए	ए	68
बि	बि	68
यो	यो	68
पू	पू	68
खा	खा	67
बी	बी	67
जी	जी	66
मे	मे	66
यु	यु	66
सू	सू	66
ग़	ग़	66
था	था	64
धि	धि	63
दु	दु	63
घ	घ	60
तु	तु	60
ट्	ट्	58
मं	मं	58
टी	टी	58
शी	शी	57
ही	ही	56
गी	गी	56
ची	ची	56
ख़्	ख़्	56
दू	दू	56
गि	गि	54
लो	लो	54
इं	इं	54
बु	बु	53
पि	पि	52
फ़्	फ़्	52
गो	गो	51
जि	जि	51
वी	वी	51
पे	पे	51
रं	रं	50
से	से	50
बं	बं	50
भि	भि	49
च्	च्	48
ले	ले	48
फ़ि	फ़ि	48
ड़ी	ड़ी	47
छा	छा	47
षा	षा	47
मो	मो	47
