Grapheme	mapping	frequency
 	 	66843
ː	ː	13854
ə	ə	8571
ɑ	ɑ	7684
ɾ	ɾ	4445
n	n	3817
k	k	3194
t̪	t̪	3084
ɪ	ɪ	2892
i	i	2605
s	s	2377
m	m	2343
l	l	2119
d̪	d̪	2041
p	p	1897
ʃ	ʃ	1855
b	b	1789
ʋ	ʋ	1580
ʊ	ʊ	1552
ʰ	ʰ	1547
j	j	1480
ɡ	ɡ	1328
ʒ	ʒ	1260
d͡	d͡	1253
ʱ	ʱ	1209
ɦ	ɦ	1140
e	e	1070
o	o	921
t͡	t͡	908
u	u	894
ʈ	ʈ	873
ɳ	ɳ	524
ɽ	ɽ	381
z	z	377
ʂ	ʂ	372
ᵊ	ᵊ	369
ŋ	ŋ	355
ɖ	ɖ	329
ɔ	ɔ	290
f	f	273
ɛ	ɛ	272
q	q	234
x	x	227
ɑ̃	ɑ̃	108
ɣ	ɣ	86
ə̃	ə̃	56
õ	õ	28
ũ	ũ	26
ə̯	ə̯	18
ẽ	ẽ	17
ĩ	ĩ	15
ʊ̃	ʊ̃	8
a	a	7
æ	æ	7
‿	‿	6
ɔ̃	ɔ̃	6
ɛ̃	ɛ̃	4
ɪ̃	ɪ̃	3
ɭ	ɭ	2
v	v	2
