Grapheme	mapping	frequency
ə	ə	8568
ɑː	ɑː	7684
ɾ	ɾ	4340
n	n	3794
ɪ	ɪ	2891
t̪	t̪	2827
k	k	2643
iː	iː	2590
s	s	2377
m	m	2326
l	l	2102
d̪	d̪	1599
ʊ	ʊ	1552
ʋ	ʋ	1547
p	p	1518
b	b	1365
j	j	1316
ɡ	ɡ	1181
d͡ʒ	d͡ʒ	1150
ɦ	ɦ	1139
eː	eː	1070
ʃ	ʃ	947
oː	oː	921
uː	uː	888
t͡ʃ	t͡ʃ	714
ʈ	ʈ	707
kʰ	kʰ	551
ɳ	ɳ	524
d̪ʱ	d̪ʱ	442
bʱ	bʱ	422
pʰ	pʰ	379
z	z	377
ʂ	ʂ	372
ŋ	ŋ	355
ɽ	ɽ	322
ɖ	ɖ	291
f	f	273
ɛː	ɛː	270
t̪ʰ	t̪ʰ	257
q	q	234
x	x	227
ɔː	ɔː	222
t͡ʃʰ	t͡ʃʰ	194
ʈʰ	ʈʰ	166
jᵊ	jᵊ	164
ɡʱ	ɡʱ	145
ɑ̃ː	ɑ̃ː	108
ɾᵊ	ɾᵊ	105
d͡ʒʱ	d͡ʒʱ	103
ɣ	ɣ	86
ɔ	ɔ	68
ɽʱ	ɽʱ	58
ə̃	ə̃	56
ɖʱ	ɖʱ	37
ʋᵊ	ʋᵊ	33
õː	õː	28
ũː	ũː	26
nᵊ	nᵊ	23
ə̯	ə̯	18
lᵊ	lᵊ	17
mᵊ	mᵊ	17
ẽː	ẽː	17
i	i	15
ĩː	ĩː	15
ʊ̃	ʊ̃	8
ʒ	ʒ	7
‿	‿	6
ɔ̃ː	ɔ̃ː	6
æ	æ	6
u	u	6
a	a	4
ɛ̃ː	ɛ̃ː	4
aː	aː	3
əᵊ	əᵊ	3
ɪ̃	ɪ̃	3
ɭ	ɭ	2
v	v	2
ɡᵊ	ɡᵊ	2
ɛ	ɛ	1
ɖᵊ	ɖᵊ	1
ɽᵊ	ɽᵊ	1
bʱᵊ	bʱᵊ	1
ɛʱ	ɛʱ	1
ɪː	ɪː	1
æː	æː	1
bᵊ	bᵊ	1
ɦᵊ	ɦᵊ	1
