Grapheme	mapping	frequency
 	 	9558
र	र	1585
न	न	1319
ना	ना	970
त	त	948
ल	ल	939
क	क	916
म	म	882
स	स	878
अ	अ	668
य	य	585
रा	रा	574
प	प	553
द	द	536
र्	र्	519
ह	ह	511
स्	स्	507
ता	ता	481
या	या	463
व	व	456
वा	वा	452
त्	त्	434
का	का	428
ब	ब	428
आ	आ	408
ला	ला	399
ग	ग	390
मा	मा	385
ज	ज	365
क्	क्	348
दा	दा	311
प्	प्	278
ट	ट	272
श	श	271
बा	बा	270
नि	नि	264
सा	सा	259
री	री	242
ज़	ज़	234
ति	ति	229
ण	ण	225
वि	वि	205
नी	नी	204
उ	उ	203
न्	न्	202
ली	ली	201
रि	रि	198
हा	हा	190
इ	इ	187
च	च	184
सं	सं	171
लि	लि	159
ल्	ल्	158
पा	पा	158
क़	क़	154
ष	ष	146
ज़ा	ज़ा	142
चा	चा	142
द्	द्	141
ई	ई	139
जा	जा	136
गा	गा	133
मु	मु	132
शा	शा	128
सी	सी	126
ध	ध	126
ख	ख	123
फ़	फ़	122
ड	ड	118
ड़	ड़	118
श्	श्	114
ती	ती	109
भा	भा	107
अं	अं	102
सि	सि	102
ग्	ग्	100
हि	हि	100
म्	म्	99
सु	सु	98
ख़ा	ख़ा	96
ष्	ष्	95
गु	गु	93
फ़ा	फ़ा	93
मि	मि	92
थ	थ	92
क़ा	क़ा	90
ख़	ख़	89
दी	दी	89
शि	शि	86
धा	धा	83
मी	मी	82
नु	नु	82
ने	ने	80
ड़ा	ड़ा	79
रे	रे	74
ब्	ब्	73
रो	रो	73
टा	टा	72
ज्	ज्	72
पु	पु	72
वे	वे	69
सू	सू	69
खा	खा	68
भ	भ	68
बि	बि	68
था	था	68
दि	दि	67
फ	फ	67
कि	कि	66
ट्	ट्	66
दे	दे	64
को	को	63
व्	व्	63
कु	कु	62
ठ	ठ	62
ए	ए	61
चि	चि	60
धि	धि	59
लो	लो	59
बे	बे	59
दु	दु	58
मं	मं	55
इं	इं	55
छ	छ	54
ले	ले	54
की	की	54
ग़	ग़	54
यु	यु	53
यो	यो	53
ज़ी	ज़ी	52
घ	घ	52
बं	बं	52
च्	च्	51
से	से	51
रं	रं	50
षा	षा	50
वी	वी	50
जि	जि	49
तु	तु	49
छा	छा	48
बु	बु	48
मे	मे	48
गी	गी	47
जी	जी	47
डा	डा	47
पू	पू	46
भि	भि	46
ही	ही	45
ची	ची	45
रु	रु	45
शी	शी	44
पि	पि	44
टी	टी	44
दू	दू	44
रू	रू	43
बी	बी	42
फ़ि	फ़ि	42
टे	टे	40
ख़्	ख़्	40
कं	कं	39
गो	गो	38
टि	टि	38
फ़्	फ़्	38
गि	गि	37
ध्	ध्	36
ग़ा	ग़ा	36
मू	मू	36
पे	पे	35
पी	पी	35
ज़ि	ज़ि	34
ठा	ठा	33
षि	षि	33
कृ	कृ	32
फ़ी	फ़ी	32
लं	लं	32
ऊ	ऊ	31
तं	तं	31
ख़ु	ख़ु	30
ड़ी	ड़ी	29
ण्	ण्	29
भू	भू	29
सो	सो	29
लु	लु	29
यू	यू	29
झ	झ	29
जु	जु	28
ञा	ञा	28
मो	मो	28
ख्	ख्	28
बो	बो	28
हु	हु	28
चु	चु	28
बू	बू	28
णा	णा	27
लू	लू	27
ओ	ओ	27
शु	शु	26
क़्	क़्	26
पं	पं	26
डि	डि	25
