Grapheme	mapping	frequency
 	 	58885
ː	ː	12552
ä	ä	7046
ə	ə	5365
n̪	n̪	3822
ɾ	ɾ	3564
k	k	2664
t̪	t̪	2478
s̪	s̪	2377
i	i	2269
l̪	l̪	2123
m	m	2083
ɪ	ɪ	2005
ʃ	ʃ	1797
ə̃	ə̃	1757
d̪	d̪	1660
p	p	1602
b	b	1477
j	j	1316
ʰ	ʰ	1277
ʋ	ʋ	1195
ʊ	ʊ	1142
ɡ	ɡ	1127
ʒ	ʒ	1031
d͡	d͡	1030
ɦ	ɦ	992
ʱ	ʱ	988
e	e	794
ä̃	ä̃	746
t͡	t͡	720
ʈ	ʈ	678
o	o	634
u	u	595
ɳ	ɳ	490
ɛ	ɛ	394
ŋ	ŋ	355
ᵊ	ᵊ	302
ɽ	ɽ	294
z	z	290
ɪ̃	ɪ̃	285
ɖ	ɖ	283
ɔ	ɔ	242
f	f	213
q	q	188
x	x	183
w	w	181
ʊ̃	ʊ̃	145
t̪̚	t̪̚	129
ĩ	ĩ	114
ɛ̃	ɛ̃	85
ũ	ũ	84
õ	õ	76
ẽ	ẽ	75
ɣ	ɣ	72
d̪̚	d̪̚	72
t̚	t̚	48
k̚	k̚	46
ɔ̃	ɔ̃	38
ʈ̚	ʈ̚	34
b̚	b̚	17
p̚	p̚	16
ə̯	ə̯	15
a	a	15
ʂ	ʂ	14
d̚	d̚	14
ɖ̚	ɖ̚	10
ɑ	ɑ	8
‿	‿	4
s	s	3
æ̃	æ̃	3
n	n	2
æ	æ	2
v	v	2
l	l	2
ɭ	ɭ	1
ɴ	ɴ	1
ɔ̯	ɔ̯	1
ɪ̯	ɪ̯	1
