Grapheme	mapping	frequency
 	 	19688
う	う	6786
ん	ん	6426
い	い	5745
し	し	4107
く	く	3411
か	か	3038
き	き	2863
ょ	ょ	2469
つ	つ	2037
こ	こ	1919
じ	じ	1902
り	り	1750
た	た	1619
ち	ち	1559
る	る	1522
ゅ	ゅ	1510
と	と	1401
せ	せ	1381
さ	さ	1307
お	お	1271
ま	ま	1269
が	が	1254
す	す	1167
け	け	1145
な	な	1119
ら	ら	1075
っ	っ	1072
あ	あ	1062
は	は	1030
み	み	1023
て	て	922
え	え	864
だ	だ	841
も	も	835
そ	そ	815
め	め	783
ど	ど	773
ひ	ひ	752
に	に	747
ろ	ろ	716
わ	わ	715
や	や	711
よ	よ	710
ゃ	ゃ	695
ば	ば	695
ぶ	ぶ	658
の	の	652
れ	れ	650
ご	ご	650
ふ	ふ	639
ぎ	ぎ	610
げ	げ	543
む	む	538
ほ	ほ	532
び	び	466
ざ	ざ	459
ぼ	ぼ	445
ね	ね	439
ず	ず	377
ゆ	ゆ	365
ぐ	ぐ	339
で	で	317
ぜ	ぜ	251
へ	へ	239
ぞ	ぞ	229
べ	べ	187
ぬ	ぬ	128
ぱ	ぱ	123
づ	づ	102
ぽ	ぽ	96
を	を	79
ぴ	ぴ	62
ぷ	ぷ	61
ぺ	ぺ	49
ぇ	ぇ	28
ぢ	ぢ	24
ぁ	ぁ	13
ぃ	ぃ	8
ゔ	ゔ	8
ぉ	ぉ	7
き゚	き゚	5
ゎ	ゎ	5
ゐ	ゐ	5
く゚	く゚	3
ぅ	ぅ	2
ゞ	ゞ	1
か゚	か゚	1
け゚	け゚	1
こ゚	こ゚	1
つ゚	つ゚	1
と゚	と゚	1
ゐ゙	ゐ゙	1
ゑ	ゑ	1
