Grapheme	mapping	frequency
 	 	134856
a̠	a̠	15206
ᵝ	ᵝ	14504
i	i	13612
o̞	o̞	12833
k	k	12548
ː	ː	8625
ɯ̟	ɯ̟	7886
ʲ	ʲ	7237
s	s	6797
e̞	e̞	5833
ɕ	ɕ	5756
ɾ	ɾ	5717
m	m	4931
ɨ	ɨ	4833
t	t	3989
t͡	t͡	3649
ɡ	ɡ	3437
n	n	3165
ɴ	ɴ	2560
b	b	2489
ẽ̞	ẽ̞	2014
d	d	1958
ʑ	ʑ	1953
ã̠	ã̠	1909
j	j	1822
h	h	1780
z	z	1441
ĩ	ĩ	1411
d͡	d͡	1384
ɲ̟	ɲ̟	1158
ɰ̃	ɰ̃	1081
ŋ	ŋ	993
ɰ	ɰ	784
ç	ç	752
õ̞	õ̞	718
ɸ	ɸ	657
k̚	k̚	430
p	p	393
i̥	i̥	338
ɯ̟̃	ɯ̟̃	335
ɯ̟̊	ɯ̟̊	323
t̚	t̚	263
p̚	p̚	162
ɨ̥	ɨ̥	145
ɨ̃	ɨ̃	107
ɯ	ɯ	75
a	a	57
o	o	50
u	u	38
 ̥	 ̥	30
e	e	24
ɯ̥	ɯ̥	14
r	r	14
ä	ä	9
u͍	u͍	9
ɽ	ɽ	6
ɯ̃	ɯ̃	5
l	l	5
ɾ̠	ɾ̠	4
ʔ	ʔ	4
˦	˦	4
˨	˨	3
a̠̠	a̠̠	2
e̞̞	e̞̞	2
m̩	m̩	1
y	y	1
w	w	1
 ̥̥	 ̥̥	1
i̥̥	i̥̥	1
ᵝ̥	ᵝ̥	1
n̩	n̩	1
õ̥	õ̥	1
˕	˕	1
ɛ	ɛ	1
˧	˧	1
˩	˩	1
˥	˥	1
w͍	w͍	1
ẽ	ẽ	1
ɸ̥	ɸ̥	1
ɾ̥	ɾ̥	1
o̞̊	o̞̊	1
o̞̞	o̞̞	1
