Grapheme	mapping	frequency
a̠	a̠	15181
i	i	13439
k	k	9663
o̞	o̞	8032
ɯ̟ᵝ	ɯ̟ᵝ	7491
o̞ː	o̞ː	4801
s	s	4613
e̞	e̞	4209
ɕ	ɕ	4043
t	t	3982
ɾ	ɾ	3973
ɨᵝ	ɨᵝ	3785
m	m	3770
n	n	3048
kʲ	kʲ	2874
ɡ	ɡ	2823
ɴ	ɴ	2560
t͡s	t͡s	2064
b	b	2019
ẽ̞	ẽ̞	2012
d	d	1954
ã̠	ã̠	1908
j	j	1822
h	h	1779
ɾʲ	ɾʲ	1744
e̞ː	e̞ː	1624
t͡ɕ	t͡ɕ	1580
ĩ	ĩ	1406
ɲ̟	ɲ̟	1158
ɰ̃	ɰ̃	1081
ɨᵝː	ɨᵝː	1048
ʑ	ʑ	1025
mʲ	mʲ	995
z	z	985
d͡ʑ	d͡ʑ	925
ɰᵝ	ɰᵝ	783
ç	ç	752
ŋ	ŋ	740
õ̞	õ̞	718
ɸ	ɸ	653
ɡʲ	ɡʲ	611
bʲ	bʲ	470
d͡z	d͡z	455
ɯ̟ᵝː	ɯ̟ᵝː	395
i̥	i̥	338
ɯ̟̃ᵝ	ɯ̟̃ᵝ	334
p	p	331
k̚	k̚	326
ɯ̟̊ᵝ	ɯ̟̊ᵝ	322
t̚	t̚	263
ŋʲ	ŋʲ	253
iː	iː	173
ɨ̥ᵝ	ɨ̥ᵝ	145
p̚	p̚	141
mː	mː	135
sː	sː	118
nː	nː	116
ɕː	ɕː	108
ɨ̃ᵝ	ɨ̃ᵝ	107
k̚ʲ	k̚ʲ	104
ɯᵝ	ɯᵝ	63
pʲ	pʲ	62
a	a	56
u	u	36
o	o	34
mʲː	mʲː	31
̥	̥	30
a̠ː	a̠ː	25
e	e	22
ɕʲ	ɕʲ	21
p̚ʲ	p̚ʲ	21
oː	oː	16
ɯ̥ᵝ	ɯ̥ᵝ	14
r	r	14
ɯᵝː	ɯᵝː	10
ʲkʲ	ʲkʲ	10
ä	ä	9
ɽ	ɽ	6
ĩː	ĩː	5
ɯ̃ᵝ	ɯ̃ᵝ	5
u͍ː	u͍ː	5
tʲ	tʲ	5
ɾ̠	ɾ̠	4
ʔ	ʔ	4
t͡ɕʲ	t͡ɕʲ	4
u͍	u͍	4
dʲ	dʲ	4
ɸʲ	ɸʲ	4
l	l	4
ʲɡʲ	ʲɡʲ	3
d͡ʑʲ	d͡ʑʲ	3
˦˨˦	˦˨˦	2
ẽ̞ː	ẽ̞ː	2
uː	uː	2
a̠̠	a̠̠	2
eː	eː	2
e̞̞	e̞̞	2
tː	tː	2
ɯ	ɯ	2
m̩ː	m̩ː	1
ɯ̟̃ᵝː	ɯ̟̃ᵝː	1
ɰᵝː	ɰᵝː	1
hː	hː	1
y	y	1
w	w	1
̥̥	̥̥	1
ã̠ː	ã̠ː	1
kː	kː	1
sʲ	sʲ	1
d͡zʲ	d͡zʲ	1
i̥̥	i̥̥	1
ɯ̟̊	ɯ̟̊	1
ᵝ̥	ᵝ̥	1
t͡sʲ	t͡sʲ	1
n̩	n̩	1
aː	aː	1
õ̥	õ̥	1
˕	˕	1
ɛ	ɛ	1
˧	˧	1
˨˩	˨˩	1
˥	˥	1
w͍	w͍	1
ẽ	ẽ	1
nʲ	nʲ	1
ɸ̥	ɸ̥	1
ɾ̥	ɾ̥	1
lʲ	lʲ	1
o̞̊	o̞̊	1
o̞̞	o̞̞	1
