Grapheme	mapping	frequency
a̠	a̠	3342
ɯ̟ᵝ	ɯ̟ᵝ	3146
o̞	o̞	2569
ɾ	ɾ	2458
i	i	2419
t	t	1690
s	s	1640
k	k	1518
e̞	e̞	1505
m	m	1166
ɨᵝ	ɨᵝ	1155
p	p	926
n	n	916
b	b	913
a̠ː	a̠ː	798
ɴ	ɴ	742
ɾʲ	ɾʲ	720
d	d	686
ã̠	ã̠	610
o̞ː	o̞ː	564
ɡ	ɡ	558
iː	iː	546
ĩ	ĩ	493
ɕ	ɕ	489
e̞ː	e̞ː	438
ɸ	ɸ	431
õ̞	õ̞	387
t͡ɕ	t͡ɕ	357
ɲ̟	ɲ̟	342
ɨ̥ᵝ	ɨ̥ᵝ	331
kʲ	kʲ	325
h	h	316
ẽ̞	ẽ̞	279
t̚	t̚	250
ŋ	ŋ	248
bʲ	bʲ	230
k̚	k̚	228
ɰ̃	ɰ̃	214
ʑ	ʑ	213
z	z	209
ɰᵝ	ɰᵝ	208
mʲ	mʲ	190
ɯ̟ᵝː	ɯ̟ᵝː	176
pʲ	pʲ	171
ɯ̟̊ᵝ	ɯ̟̊ᵝ	156
d͡ʑ	d͡ʑ	147
j	j	139
p̚	p̚	134
tʲ	tʲ	125
ɨᵝː	ɨᵝː	123
dʲ	dʲ	122
t͡s	t͡s	121
ɡʲ	ɡʲ	67
ɸʲ	ɸʲ	64
ɯ̟̃ᵝ	ɯ̟̃ᵝ	57
ç	ç	53
ɕː	ɕː	53
d͡z	d͡z	50
i̥	i̥	50
d̚	d̚	45
d̥	d̥	29
ɡ̚	ɡ̚	27
ɡ̊	ɡ̊	27
ẽ̞ː	ẽ̞ː	27
̥	̥	25
ŋʲ	ŋʲ	23
k̚ʲ	k̚ʲ	22
ĩː	ĩː	22
õ̞ː	õ̞ː	21
mː	mː	20
sː	sː	20
nː	nː	14
ã̠ː	ã̠ː	11
ɨ̃ᵝ	ɨ̃ᵝ	10
ɯ̟̃ᵝː	ɯ̟̃ᵝː	10
p̚ʲ	p̚ʲ	10
o̞̊	o̞̊	8
t̚ʲ	t̚ʲ	5
ḁ	ḁ	5
ɸː	ɸː	5
hː	hː	4
ɨ̃ᵝː	ɨ̃ᵝː	3
ɸʲː	ɸʲː	2
ĩ̥	ĩ̥	2
ʔ	ʔ	2
d͡zʲ	d͡zʲ	2
t͡sʲ	t͡sʲ	2
e̞̊	e̞̊	2
ɯᵝ	ɯᵝ	2
o̞̞	o̞̞	2
ʲkʲ	ʲkʲ	2
ʔ̥	ʔ̥	1
ẽ̥	ẽ̥	1
˕	˕	1
b̚	b̚	1
b̥	b̥	1
mʲː	mʲː	1
ː̥	ː̥	1
ä	ä	1
ɯ̥ᵝ	ɯ̥ᵝ	1
sʲ	sʲ	1
ɺ̠	ɺ̠	1
d͡ʑʲ	d͡ʑʲ	1
e̞̞	e̞̞	1
̃	̃	1
