Grapheme	mapping	frequency
 	 	99
ಕ್	ಕ್	12
ಕ	ಕ	10
ರ	ರ	10
ಮ	ಮ	10
ಗ	ಗ	9
ಹ	ಹ	7
ತ್	ತ್	7
ತ	ತ	6
ಯ	ಯ	6
ಸು	ಸು	5
ಸ	ಸ	5
ಅ	ಅ	4
ರ್	ರ್	4
ಕು	ಕು	4
ಷ್	ಷ್	4
ಮೂ	ಮೂ	4
ಲ	ಲ	3
ನ್	ನ್	3
ನ	ನ	3
ಧ	ಧ	3
ಳು	ಳು	3
ಶ್	ಶ್	3
ಣ	ಣ	3
ಕೊ	ಕೊ	3
ಷ	ಷ	3
ಬ್	ಬ್	3
ಶ	ಶ	3
ದ್	ದ್	3
ವ	ವ	3
ಪ್	ಪ್	3
ಯು	ಯು	3
ರೋ	ರೋ	3
ಅಂ	ಅಂ	2
ತಃ	ತಃ	2
ರು	ರು	2
ಇ	ಇ	2
ಚ್	ಚ್	2
ಗ್	ಗ್	2
ಡು	ಡು	2
ರಿ	ರಿ	2
ರೀ	ರೀ	2
ನು	ನು	2
ದು	ದು	2
ಠ	ಠ	2
ದೇ	ದೇ	2
ಧ್	ಧ್	2
ಪಾ	ಪಾ	2
ಪ	ಪ	2
ಪು	ಪು	2
ರಾ	ರಾ	2
ಜ	ಜ	2
ಣಿ	ಣಿ	2
ಮಾ	ಮಾ	2
ಮು	ಮು	2
ಖ	ಖ	2
ಸಿಂ	ಸಿಂ	2
ಹು	ಹು	2
ಛಿ	ಛಿ	1
ಛೆ	ಛೆ	1
ಉ	ಉ	1
ಋ	ಋ	1
ಎ	ಎ	1
ಟು	ಟು	1
ತೆ	ತೆ	1
ಯೆ	ಯೆ	1
ಫ	ಫ	1
ಕೈ	ಕೈ	1
ಟ್	ಟ್	1
ಟಿ	ಟಿ	1
ಗೆ	ಗೆ	1
ಡೆ	ಡೆ	1
ಬ	ಬ	1
ಚೋ	ಚೋ	1
ಜೂ	ಜೂ	1
ಜು	ಜು	1
ಜೇ	ಜೇ	1
ಞ	ಞ	1
ವು	ವು	1
ತೃ	ತೃ	1
ಣೆ	ಣೆ	1
ದಿ	ದಿ	1
ದೊ	ದೊ	1
ನೆ	ನೆ	1
ಯೂ	ಯೂ	1
ನಿ	ನಿ	1
ನಾ	ನಾ	1
ನೋ	ನೋ	1
ಟ	ಟ	1
ಪಂ	ಪಂ	1
ಡಿ	ಡಿ	1
ತಿ	ತಿ	1
ಬೀ	ಬೀ	1
ಬೆ	ಬೆ	1
ಭಾ	ಭಾ	1
ಧು	ಧು	1
ಸ್	ಸ್	1
ಢ	ಢ	1
ಮೃ	ಮೃ	1
ಷಿ	ಷಿ	1
ರೂ	ರೂ	1
ಱ	ಱ	1
ಜ್	ಜ್	1
ಜೆ	ಜೆ	1
ವಿ	ವಿ	1
ಣು	ಣು	1
ವೃ	ವೃ	1
ದ	ದ	1
ಶೌ	ಶೌ	1
ಧೆ	ಧೆ	1
ರೇ	ರೇ	1
ಸಂ	ಸಂ	1
ದಾ	ದಾ	1
ಶಿ	ಶಿ	1
ಭೆ	ಭೆ	1
ಸೂ	ಸೂ	1
ಸೊ	ಸೊ	1
ಸೆ	ಸೆ	1
ಹಂ	ಹಂ	1
ಹಾ	ಹಾ	1
ಲು	ಲು	1
ಣ್	ಣ್	1
ಮೆ	ಮೆ	1
ಬು	ಬು	1
ೞ	ೞ	1
