Grapheme	frequency	mapping
"
"	151	"
"
ᐢ	67	ᐢ
ᐤ	35	ᐤ
ᑭ	29	ᑭ
ᐠ	27	ᐠ
ᐦ	26	ᐦ
ᓯ	24	ᓯ
ᐊ	23	ᐊ
ᓂ	21	ᓂ
ᐣ	20	ᐣ
ᐱ	18	ᐱ
ᑎ	17	ᑎ
ᑲ	16	ᑲ
ᐚ	15	ᐚ
ᕀ	15	ᕀ
ᑿ	14	ᑿ
ᑯ	13	ᑯ
ᒪ	13	ᒪ
ᐘ	11	ᐘ
ᒥ	11	ᒥ
ᓃ	10	ᓃ
ᑕ	10	ᑕ
ᑮ	10	ᑮ
ᓇ	10	ᓇ
ᔭ	9	ᔭ
ᐃ	8	ᐃ
ᑳ	8	ᑳ
ᐏ	7	ᐏ
ᔮ	7	ᔮ
ᑫ	7	ᑫ
ᒦ	7	ᒦ
ᔨ	6	ᔨ
ᓈ	6	ᓈ
ᐑ	6	ᐑ
ᐯ	6	ᐯ
ᑊ	5	ᑊ
ᐳ	5	ᐳ
ᒼ	5	ᒼ
ᐸ	5	ᐸ
ᓰ	5	ᓰ
ᑵ	4	ᑵ
ᑖ	4	ᑖ
ᒋ	4	ᒋ
ᓵ	4	ᓵ
ᓀ	4	ᓀ
ᒫ	4	ᒫ
ᔦ	4	ᔦ
ᐲ	4	ᐲ
ᑐ	4	ᑐ
ᑌ	3	ᑌ
ᐅ	3	ᐅ
ᕽ	3	ᕽ
ᒧ	3	ᒧ
ᐹ	3	ᐹ
ᓭ	3	ᓭ
ᒨ	3	ᒨ
ᓅ	3	ᓅ
ᒷ	2	ᒷ
ᔩ	2	ᔩ
ᔫ	2	ᔫ
ᒐ	2	ᒐ
ᓄ	2	ᓄ
ᔁ	2	ᔁ
ᒉ	1	ᒉ
ᐆ	1	ᐆ
ᕁ	1	ᕁ
ᒍ	1	ᒍ
ᒑ	1	ᒑ
ᐋ	1	ᐋ
ᐨ	1	ᐨ
ᑰ	1	ᑰ
ᒌ	1	ᒌ
ᒣ	1	ᒣ
ᑉ	1	ᑉ
ᑷ	1	ᑷ
ᐓ	1	ᐓ
ᑤ	1	ᑤ
ᓱ	1	ᓱ
ᓲ	1	ᓲ
ᓴ	1	ᓴ
