Grapheme	mapping	frequency
t	t	82
a	a	65
ʁ	ʁ	52
s	s	49
b	b	41
ɛ	ɛ	38
p	p	35
n	n	31
e	e	28
ɾ	ɾ	26
ɔ	ɔ	24
m	m	21
ː	ː	21
w	w	21
i	i	20
ʒ	ʒ	20
k	k	18
l	l	17
ɑ	ɑ	17
o	o	16
ʰ	ʰ	15
ɪ̯	ɪ̯	15
z	z	14
æ	æ	14
v	v	12
ɛ̯	ɛ̯	12
œ	œ	12
ɔ̃	ɔ̃	12
j	j	11
æ̃	æ̃	10
ɪ	ɪ	10
ɛ̃	ɛ̃	10
ɡ	ɡ	10
ɒ̃	ɒ̃	9
u	u	9
ɑ̃	ɑ̃	8
ʁ̥	ʁ̥	8
d	d	8
u̯	u̯	8
y	y	8
ɒ	ɒ	8
n̪	n̪	8
f	f	8
ø	ø	7
ɪ̯̃	ɪ̯̃	6
ə	ə	6
ʃ	ʃ	6
t͡	t͡	6
o̞	o̞	6
h	h	6
ã	ã	5
ʊ̯̃	ʊ̯̃	4
ɥ	ɥ	3
ʊ	ʊ	3
i̯	i̯	3
ʏ	ʏ	3
ħ	ħ	3
ʀ̥	ʀ̥	3
ʊ̯	ʊ̯	2
õ	õ	2
χ	χ	2
ɔ̯	ɔ̯	2
r	r	2
ʀ	ʀ	2
‿	‿	1
e̯	e̯	1
ə̆	ə̆	1
ẽ	ẽ	1
ə̯	ə̯	1
ʲ	ʲ	1
ŋ	ŋ	1
æ̈	æ̈	1
d͡	d͡	1
ɪ̃	ɪ̃	1
ɐ	ɐ	1
œ̯	œ̯	1
ɚ	ɚ	1
ɛ̝	ɛ̝	1
