Grapheme	mapping	frequency
a	a	77735
o	o	40512
s	s	35769
e	e	35291
ð	ð	29922
i	i	28646
t̪	t̪	26435
ɾ	ɾ	24566
k	k	16226
m	m	14389
l	l	14318
n	n	13740
r	r	10826
p	p	10221
β	β	9978
θ	θ	9749
u	u	8197
n̪	n̪	7887
d̪	d̪	7467
j	j	6956
ẽ	ẽ	6517
ɣ	ɣ	6340
f	f	4890
ã	ã	4467
õ	õ	4200
b	b	4150
x	x	3504
ĩ	ĩ	3001
ŋ	ŋ	2455
w	w	2274
ɡ	ɡ	1642
t͡ʃ	t͡ʃ	1488
u̯	u̯	1326
ʎ	ʎ	1208
n̟	n̟	1185
i̯	i̯	1106
z	z	1097
ũ	ũ	924
l̪	l̪	858
ɲ	ɲ	798
ɱ	ɱ	641
ʝ	ʝ	512
t	t	270
ɟ͡ʝ	ɟ͡ʝ	236
nʲ	nʲ	226
o̞	o̞	203
e̞	e̞	183
ĩ̯	ĩ̯	167
a̠	a̠	163
ʃ	ʃ	134
l̟	l̟	105
θ̬	θ̬	90
d	d	59
ä	ä	32
β̞	β̞	22
lʲ	lʲ	21
ð̞	ð̞	17
õ̞	õ̞	13
v	v	8
ɣ̞	ɣ̞	8
ẽ̞	ẽ̞	8
ɰ	ɰ	7
ũ̯	ũ̯	5
h	h	5
a̯	a̯	4
ɬ	ɬ	3
ɣ̊	ɣ̊	2
í	í	2
ʒ	ʒ	2
ɛ	ɛ	1
ɟ	ɟ	1
ɛː	ɛː	1
ə	ə	1
ɹ	ɹ	1
ɪ	ɪ	1
ʊ	ʊ	1
ç	ç	1
t͡ɬ	t͡ɬ	1
ɑ	ɑ	1
e̯	e̯	1
ɦ	ɦ	1
j̞	j̞	1
