Grapheme	mapping	frequency
ʔ	ʔ	10213
˧˧	˧˧	8135
w	w	8016
ə	ə	7224
ŋ	ŋ	6755
j	j	6575
aː	aː	5780
˨˩	˨˩	5303
˦˧˥	˦˧˥	4548
˦˩	˦˩	4273
˧˨	˧˨	4000
ɨ	ɨ	3665
m	m	2990
k	k	2766
k̚	k̚	2733
i	i	2701
a	a	2558
˨˩˦	˨˩˦	2457
t	t	2356
n	n	2084
ɗ	ɗ	1996
h	h	1914
o	o	1780
tʰ	tʰ	1780
ɓ	ɓ	1751
l	l	1709
ɛ	ɛ	1591
ŋ͡m	ŋ͡m	1564
ɲ	ɲ	1502
ɪ	ɪ	1455
ʊ	ʊ	1452
t͡ɕ	t͡ɕ	1267
ʂ	ʂ	1133
əː	əː	1059
e	e	1053
v	v	1032
ɔ	ɔ	1027
ʈ	ʈ	995
f	f	883
u	u	874
p̚	p̚	783
k͡p̚	k͡p̚	712
t̚	t̚	697
s	s	643
kʰ	kʰ	643
ʐ	ʐ	522
ɣ	ɣ	366
ɹ	ɹ	63
p	p	39
z	z	9
k̟̚	k̟̚	3
ï	ï	2
