Grapheme	mapping	frequency
"
"	"
"	133685
子	子	2276
人	人	1850
不	不	1753
大	大	1671
兒	兒	1342
一	一	1242
亞	亞	998
水	水	988
頭	頭	987
血	血	968
生	生	959
學	學	950
心	心	949
小	小	896
性	性	843
化	化	836
家	家	827
國	國	802
上	上	797
馬	馬	796
天	天	785
中	中	781
語	語	779
山	山	766
白	白	764
無	無	708
三	三	704
斯	斯	682
地	地	680
自	自	673
主	主	673
手	手	657
拉	拉	653
花	花	645
文	文	640
下	下	615
機	機	613
動	動	612
行	行	609
西	西	602
爾	爾	597
體	體	587
有	有	582
利	利	574
氣	氣	568
高	高	558
法	法	555
口	口	554
打	打	550
會	會	549
金	金	543
巴	巴	540
車	車	540
分	分	539
電	電	539
門	門	538
字	字	536
日	日	534
物	物	532
海	海	530
酸	酸	529
老	老	527
克	克	527
義	義	521
風	風	520
場	場	511
事	事	500
公	公	499
力	力	493
音	音	485
安	安	483
神	神	481
道	道	477
數	數	477
合	合	476
長	長	471
外	外	470
眼	眼	469
出	出	463
多	多	456
期	期	455
工	工	454
阿	阿	453
二	二	452
南	南	447
書	書	446
理	理	443
片	片	438
面	面	435
新	新	434
本	本	426
石	石	423
質	質	420
之	之	419
經	經	418
火	火	413
病	病	412
管	管	411
羅	羅	403
年	年	400
色	色	400
可	可	398
十	十	397
角	角	397
河	河	397
名	名	395
民	民	395
月	月	394
內	內	394
平	平	392
皮	皮	391
相	相	390
開	開	389
成	成	388
點	點	386
時	時	386
加	加	386
言	言	383
紅	紅	382
發	發	382
德	德	381
黃	黃	380
特	特	380
方	方	377
後	後	375
明	明	375
古	古	374
女	女	372
意	意	370
東	東	368
線	線	366
教	教	365
室	室	364
路	路	362
者	者	362
魚	魚	360
球	球	358
光	光	356
空	空	353
作	作	352
流	流	351
里	里	348
來	來	347
得	得	347
美	美	347
城	城	345
木	木	344
半	半	342
樂	樂	340
前	前	340
尼	尼	339
器	器	338
話	話	336
和	和	334
雞	雞	334
骨	骨	334
同	同	333
情	情	332
士	士	330
科	科	329
龍	龍	328
基	基	328
度	度	327
身	身	327
反	反	326
正	正	326
油	油	326
定	定	323
布	布	323
五	五	322
星	星	322
北	北	322
黑	黑	321
好	好	320
死	死	320
重	重	319
原	原	318
用	用	317
牛	牛	317
米	米	317
素	素	317
四	四	309
沙	沙	309
號	號	309
交	交	309
草	草	308
清	清	306
業	業	304
通	通	303
土	土	300
族	族	300
代	代	299
間	間	298
微	微	297
包	包	296
毛	毛	296
林	林	296
八	八	295
然	然	295
軍	軍	295
節	節	294
聲	聲	294
膜	膜	294
食	食	293
見	見	291
過	過	290
肌	肌	290
菜	菜	290
信	信	287
單	單	287
果	果	286
回	回	285
治	治	285
陽	陽	283
藥	藥	283
比	比	281
入	入	280
酒	酒	278
世	世	276
肉	肉	276
量	量	271
香	香	270
房	房	269
格	格	269
保	保	267
腳	腳	266
戰	戰	265
雙	雙	265
詞	詞	265
蘭	蘭	265
達	達	264
卡	卡	263
腦	腦	263
島	島	262
邊	邊	262
知	知	261
板	板	260
結	結	260
關	關	260
市	市	260
指	指	260
實	實	258
對	對	257
州	州	256
王	王	254
共	共	252
全	全	252
波	波	252
為	為	251
太	太	251
母	母	251
熱	熱	250
員	員	249
立	立	249
甲	甲	247
精	精	246
臺	臺	246
耳	耳	245
命	命	244
蛋	蛋	243
症	症	243
細	細	242
變	變	241
青	青	241
糖	糖	241
維	維	241
形	形	240
官	官	240
鐵	鐵	240
轉	轉	239
而	而	238
起	起	238
師	師	238
式	式	237
衣	衣	236
論	論	235
識	識	235
華	華	235
萬	萬	234
品	品	233
息	息	233
位	位	232
解	解	230
調	調	230
傳	傳	230
髮	髮	229
說	說	227
產	產	227
如	如	226
權	權	225
所	所	223
政	政	223
報	報	223
非	非	222
百	百	221
夫	夫	221
圖	圖	220
毒	毒	219
能	能	219
蟲	蟲	219
豆	豆	219
擊	擊	218
菌	菌	218
落	落	217
江	江	215
當	當	215
集	集	215
愛	愛	215
計	計	214
刀	刀	213
難	難	213
表	表	213
提	提	213
底	底	213
失	失	211
網	網	211
應	應	210
直	直	210
活	活	209
兵	兵	208
納	納	207
目	目	206
粉	粉	206
聖	聖	206
炎	炎	206
筆	筆	205
以	以	205
帶	帶	201
客	客	201
連	連	200
漢	漢	200
液	液	199
牙	牙	199
放	放	198
盤	盤	198
的	的	198
麻	麻	197
環	環	196
茶	茶	195
洋	洋	195
制	制	194
朝	朝	194
處	處	194
價	價	194
社	社	193
麵	麵	192
證	證	192
商	商	192
感	感	192
哈	哈	191
田	田	191
別	別	191
樹	樹	191
視	視	190
思	思	190
烏	烏	190
真	真	190
根	根	189
進	進	189
區	區	189
異	異	189
塞	塞	189
哥	哥	188
接	接	187
座	座	187
運	運	187
條	條	185
步	步	185
胺	胺	185
部	部	185
吉	吉	185
玉	玉	185
足	足	184
英	英	184
服	服	184
印	印	183
福	福	183
丁	丁	182
夜	夜	182
虎	虎	182
煙	煙	182
曲	曲	182
術	術	182
親	親	181
收	收	181
那	那	180
雨	雨	178
雲	雲	177
元	元	175
冰	冰	175
群	群	175
七	七	175
影	影	175
味	味	174
飯	飯	174
班	班	174
吃	吃	173
春	春	172
是	是	172
伯	伯	172
走	走	171
塔	塔	171
核	核	171
取	取	170
聯	聯	170
著	著	169
寶	寶	169
燈	燈	168
禮	禮	168
胞	胞	168
鳥	鳥	167
店	店	167
界	界	167
飛	飛	167
料	料	167
院	院	166
記	記	166
九	九	165
紙	紙	165
黨	黨	165
腸	腸	165
排	排	164
尾	尾	164
假	假	164
資	資	164
乳	乳	164
鼻	鼻	163
葉	葉	163
裝	裝	163
密	密	163
常	常	162
雪	雪	162
藏	藏	162
急	急	162
程	程	161
胡	胡	161
級	級	161
亂	亂	161
約	約	161
倒	倒	160
防	防	160
次	次	159
脈	脈	159
農	農	159
陰	陰	159
畫	畫	158
野	野	158
務	務	158
首	首	158
冷	冷	158
狗	狗	158
牌	牌	157
