Grapheme	mapping	frequency
⁵	⁵	346586
¹	¹	226048
²	²	104522
³	³	102629
⁴	⁴	76967
⁻	⁻	70434
n	n	67043
ŋ	ŋ	51633
i	i	50813
j	j	46518
ä	ä	39835
w	w	38621
ɑ	ɑ	37472
ʊ̯	ʊ̯	32818
u	u	28231
ɛ	ɛ	28207
ɪ̯	ɪ̯	23416
t͡ɕ	t͡ɕ	23105
ɤ	ɤ	20533
ʂ	ʂ	19971
ɕ	ɕ	19851
⁽	⁽	19248
⁾	⁾	19248
l	l	18685
t	t	18107
p	p	16341
ʈ͡ʂ	ʈ͡ʂ	16046
x	x	15617
k	k	14083
o	o	13908
ə	ə	13575
e	e	13469
tʰ	tʰ	12660
a	a	12549
m	m	12540
ʐ̩	ʐ̩	12044
ɔ	ɔ	11512
ʊ	ʊ	11424
t͡ɕʰ	t͡ɕʰ	11415
ʈ͡ʂʰ	ʈ͡ʂʰ	10626
f	f	10065
y	y	9987
s	s	8401
t͡s	t͡s	8283
z̩	z̩	7448
ɥ	ɥ	7304
pʰ	pʰ	6972
kʰ	kʰ	6823
ʐ	ʐ	5287
ɻ	ɻ	4885
t͡sʰ	t͡sʰ	4716
⁵ˀ	⁵ˀ	1535
ɻʷ	ɻʷ	1366
d͡z̥	d͡z̥	1185
ˀä	ˀä	961
¹ˀ	¹ˀ	952
ˀɤ	ˀɤ	861
ˀa	ˀa	421
æ̃	æ̃	354
ə̯	ə̯	351
d̥	d̥	343
ˀɑ	ˀɑ	342
ɚ	ɚ	240
³ˀ	³ˀ	239
ɑ̃	ɑ̃	220
b̥	b̥	182
v	v	182
ˀo	ˀo	153
ɤ̯̃	ɤ̯̃	132
ɤ̃	ɤ̃	124
nʲ	nʲ	107
g̊	g̊	102
d͡ʑ̥	d͡ʑ̥	90
ɖ͡ʐ̥	ɖ͡ʐ̥	81
ʊ̃	ʊ̃	67
ɔː	ɔː	57
ˀə	ˀə	52
z	z	49
⁰	⁰	29
ˀɔ	ˀɔ	12
m̩	m̩	11
ˀe	ˀe	8
ˀɛ	ˀɛ	8
ŋ̍	ŋ̍	5
n̩	n̩	5
⁴ˀ	⁴ˀ	2
äˀ	äˀ	1
ˀʊ	ˀʊ	1
