Grapheme	mapping	frequency
t	t	21815
n	n	19380
a	a	18110
ə	ə	14472
l	l	13292
ɪ	ɪ	11392
s	s	10737
k	k	10118
ʁ	ʁ	9957
f	f	9157
ɛ	ɛ	8656
ʃ	ʃ	7481
m	m	6872
b	b	6619
ɡ	ɡ	5963
p	p	5740
ç	ç	5619
ʊ	ʊ	5515
ɪ̯	ɪ̯	5502
d	d	4842
aː	aː	4783
ɐ	ɐ	4736
v	v	4647
z	z	4490
ɔ	ɔ	4313
ɐ̯	ɐ̯	3930
iː	iː	3757
ʀ	ʀ	3599
eː	eː	3580
h	h	3148
ŋ	ŋ	3110
t͡s	t͡s	2963
oː	oː	2801
n̩	n̩	2664
i	i	2456
ʊ̯	ʊ̯	2348
o	o	2108
ʔ	ʔ	2079
uː	uː	1749
ɛː	ɛː	1697
ʏ	ʏ	1467
e	e	1338
r	r	1331
yː	yː	1322
x	x	1301
l̩	l̩	1062
u	u	729
øː	øː	696
j	j	654
œ	œ	577
χ	χ	434
ʏ̯	ʏ̯	275
y	y	260
p͡f	p͡f	174
ŋ̩	ŋ̩	133
m̩	m̩	115
t͡ʃ	t͡ʃ	101
u̯	u̯	54
ɱ̩	ɱ̩	35
ø	ø	29
ɔː	ɔː	26
tʰ	tʰ	26
ŋ̍	ŋ̍	19
kʰ	kʰ	11
t͜s	t͜s	10
œː	œː	9
ɘ	ɘ	6
ɑː	ɑː	4
ɡ̊	ɡ̊	4
pʰ	pʰ	4
ɒː	ɒː	3
õ	õ	3
d̥	d̥	3
ɛ̃	ɛ̃	2
ɐ̯̯	ɐ̯̯	2
y̯	y̯	2
a͡ʊ	a͡ʊ	1
b̥	b̥	1
p͜f	p͜f	1
ʋ	ʋ	1
