Grapheme	mapping	frequency
a	a	7281
t	t	6599
n	n	6580
ː	ː	6181
ə	ə	4505
s	s	4058
l	l	3935
ɛ	ɛ	3370
k	k	3165
ʁ	ʁ	3116
f	f	3045
ɪ	ɪ	2664
b	b	2370
ʃ	ʃ	2221
ɐ̯	ɐ̯	2143
m	m	2055
ɡ	ɡ	1987
p	p	1845
i	i	1821
n̩	n̩	1819
ʔ	ʔ	1717
ʊ	ʊ	1682
ɪ̯	ɪ̯	1607
d	d	1591
ɐ	ɐ	1504
o	o	1474
ɔ	ɔ	1446
e	e	1382
v	v	1270
ʀ	ʀ	1180
z	z	1114
ŋ	ŋ	1079
h	h	1067
ç	ç	1037
ʊ̯	ʊ̯	824
t͡	t͡	816
u	u	798
ʰ	ʰ	779
l̩	l̩	582
y	y	469
ʏ	ʏ	466
r	r	344
χ	χ	283
x	x	255
ø	ø	247
i̯	i̯	224
ä	ä	205
ŋ̩	ŋ̩	202
j	j	169
m̩	m̩	168
œ	œ	135
ʋ	ʋ	114
ŋ̍	ŋ̍	101
ʏ̯	ʏ̯	93
p͡	p͡	59
ɑ	ɑ	52
ʒ	ʒ	36
ɱ̩	ɱ̩	27
ɸ	ɸ	23
o̯	o̯	19
w	w	18
b̥	b̥	17
ɔ̃	ɔ̃	17
e̯	e̯	12
t͜	t͜	10
a̯	a̯	10
æ	æ	10
ã	ã	9
ə̯	ə̯	9
d͡	d͡	8
d̥	d̥	7
a͜	a͜	7
õ	õ	7
ɡ̊	ɡ̊	6
ɾ	ɾ	6
ˤ	ˤ	6
ɑ̃	ɑ̃	5
z̥	z̥	5
ɘ	ɘ	5
ø̯	ø̯	5
ʌ	ʌ	4
ʁ̞̊	ʁ̞̊	4
p̚	p̚	3
ɪ̯̯	ɪ̯̯	3
ɐ̠	ɐ̠	3
ʁ̥	ʁ̥	3
u̯	u̯	3
ˑ	ˑ	3
r̺	r̺	3
‿	‿	3
ɱ	ɱ	3
ɕ	ɕ	3
ɨ	ɨ	3
ɑ̈	ɑ̈	2
ɴ̩	ɴ̩	2
ɔ͜	ɔ͜	2
à	à	2
l̺	l̺	2
ɫ	ɫ	2
ɦ	ɦ	2
ɱ̍	ɱ̍	2
ʝ	ʝ	2
ɲ	ɲ	2
ʎ̞	ʎ̞	2
e̝	e̝	2
i͡	i͡	2
ɹ	ɹ	1
ʑ	ʑ	1
d̚	d̚	1
y̆	y̆	1
k͡	k͡	1
c	c	1
ʀ̩	ʀ̩	1
ʁ̩	ʁ̩	1
ɛ̯	ɛ̯	1
a̠	a̠	1
ɜ	ɜ	1
ŋ̩̩	ŋ̩̩	1
ħ	ħ	1
ʲ	ʲ	1
ʃ͡	ʃ͡	1
a̝	a̝	1
n̺	n̺	1
ɵ	ɵ	1
l̥	l̥	1
θ	θ	1
v̥	v̥	1
ʋ̥	ʋ̥	1
ɛ̃	ɛ̃	1
ʁ̯	ʁ̯	1
,	,	1
ɐ̰	ɐ̰	1
ʉ	ʉ	1
