Grapheme	mapping	frequency
n	n	8400
a	a	7516
t	t	7425
ː	ː	6181
̯	̯	4957
l	l	4520
ə	ə	4514
ɪ	ɪ	4274
s	s	4058
ɐ	ɐ	3651
ɛ	ɛ	3372
k	k	3166
ʁ	ʁ	3125
f	f	3045
̩	̩	2804
ʊ	ʊ	2506
b	b	2387
m	m	2223
ʃ	ʃ	2222
i	i	2047
ɡ	ɡ	1993
p	p	1907
ʔ	ʔ	1717
d	d	1607
o	o	1500
ɔ	ɔ	1465
e	e	1396
ŋ	ŋ	1383
v	v	1271
ʀ	ʀ	1181
z	z	1119
h	h	1067
c	c	1038
̧	̧	1037
͡	͡	887
u	u	801
ʰ	ʰ	779
ʏ	ʏ	559
y	y	470
r	r	347
χ	χ	283
x	x	255
ø	ø	252
̈	̈	207
j	j	169
œ	œ	135
ʋ	ʋ	115
̍	̍	103
ɑ	ɑ	59
̃	̃	39
ʒ	ʒ	36
̥	̥	35
ɱ	ɱ	32
ɸ	ɸ	23
͜	͜	19
w	w	18
̊	̊	10
æ	æ	10
ɾ	ɾ	6
̺	̺	6
̞	̞	6
ˤ	ˤ	6
ɘ	ɘ	5
̚	̚	4
̠	̠	4
ʌ	ʌ	4
ˑ	ˑ	3
‿	‿	3
̝	̝	3
ɕ	ɕ	3
ɨ	ɨ	3
ɴ	ɴ	2
̀	̀	2
ɫ	ɫ	2
ɦ	ɦ	2
ʝ	ʝ	2
ɲ	ɲ	2
ʎ	ʎ	2
ɹ	ɹ	1
ʑ	ʑ	1
̆	̆	1
ɜ	ɜ	1
ħ	ħ	1
ʲ	ʲ	1
ɵ	ɵ	1
θ	θ	1
,	,	1
̰	̰	1
ʉ	ʉ	1
