Grapheme	mapping	frequency
ə	ə	723
ɪ	ɪ	699
t	t	462
d	d	403
k	k	387
n	n	377
s	s	358
ɫ	ɫ	347
ː	ː	345
ɹ	ɹ	305
ʰ	ʰ	303
b	b	246
l	l	239
i	i	222
p	p	221
m	m	195
ɛ	ɛ	191
ʊ	ʊ	180
a	a	180
æ	æ	167
e	e	165
f	f	158
̩	̩	112
ʃ	ʃ	106
ɑ	ɑ	97
ʌ	ʌ	93
ɾ	ɾ	91
̯	̯	91
ɒ	ɒ	80
̥	̥	80
ɡ	ɡ	78
z	z	77
ŋ	ŋ	72
j	j	69
w	w	69
ɔ	ɔ	68
u	u	67
̠	̠	63
h	h	61
v	v	57
θ	θ	54
ɐ	ɐ	52
ʔ	ʔ	46
ʒ	ʒ	40
͡	͡	39
o	o	36
ɜ	ɜ	33
ɚ	ɚ	31
̊	̊	27
ʷ	ʷ	25
̪	̪	25
̃	̃	20
̈	̈	19
̚	̚	18
ɱ	ɱ	18
ɨ	ɨ	14
ʉ	ʉ	14
̟	̟	12
c	c	10
̧	̧	10
ˀ	ˀ	9
ɝ	ɝ	8
x	x	8
˔	˔	7
ð	ð	6
̆	̆	6
̰	̰	5
ʲ	ʲ	5
ɯ	ɯ	4
r	r	4
ᵊ	ᵊ	4
̝	̝	4
ɵ	ɵ	4
⁓	⁓	3
ɘ	ɘ	3
ɦ	ɦ	3
ʁ	ʁ	3
χ	χ	3
̹	̹	2
~	~	2
ˡ	ˡ	2
˦	˦	2
˨	˨	2
ø	ø	2
ʼ	ʼ	2
ɸ	ɸ	2
ˑ	ˑ	2
ǀ	ǀ	2
ɻ	ɻ	2
y	y	2
ɥ	ɥ	2
̞	̞	1
ʏ	ʏ	1
̙	̙	1
ˤ	ˤ	1
q	q	1
̍	̍	1
˞	˞	1
˥	˥	1
˩	˩	1
᷈	᷈	1
ɽ	ɽ	1
̬	̬	1
ʍ	ʍ	1
ⁿ	ⁿ	1
