Grapheme	mapping	frequency
ə	ə	699
ɪ	ɪ	628
d	d	376
s	s	355
t	t	326
n	n	324
ɫ	ɫ	308
k	k	279
ɹ	ɹ	248
b	b	243
l	l	199
ɛ	ɛ	183
m	m	183
a	a	162
e	e	160
f	f	156
æ	æ	155
ʊ	ʊ	153
p	p	121
i	i	106
iː	iː	106
kʰ	kʰ	101
pʰ	pʰ	94
ʌ	ʌ	87
ʃ	ʃ	85
tʰ	tʰ	82
ɒ	ɒ	78
ɡ	ɡ	78
ɾ	ɾ	76
z	z	74
ŋ	ŋ	71
j	j	63
h	h	61
v	v	57
ɪ̯	ɪ̯	55
θ	θ	54
ɑː	ɑː	52
ʔ	ʔ	46
n̩	n̩	45
ɐ	ɐ	44
ɑ	ɑ	43
w	w	43
ɔː	ɔː	41
ɫ̩	ɫ̩	39
uː	uː	32
ɜː	ɜː	28
ɚ	ɚ	28
o	o	26
w̥	w̥	26
ʒ	ʒ	24
ɔ	ɔ	24
ʊ̯	ʊ̯	20
l̩	l̩	19
ɱ	ɱ	18
u	u	17
ɹ̠	ɹ̠	16
d͡ʒ	d͡ʒ	16
ɨ	ɨ	14
l̥	l̥	14
ɹ̠̊	ɹ̠̊	13
ə̥	ə̥	13
u̟ː	u̟ː	12
t̚	t̚	11
t͡ʃ	t͡ʃ	10
ʃʰ	ʃʰ	10
ç	ç	10
ɾ̪̊	ɾ̪̊	10
oː	oː	9
ɝ	ɝ	8
aː	aː	8
ɐː	ɐː	8
x	x	8
m̩	m̩	7
˔ʷ	˔ʷ	7
ɪ̈	ɪ̈	7
ɛː	ɛː	7
ɹʷ	ɹʷ	7
əː	əː	7
ɹ̥	ɹ̥	7
t̠	t̠	6
t̠͡ɹ̠	t̠͡ɹ̠	6
ð	ð	6
ʉ	ʉ	6
n̪	n̪	5
t̪	t̪	5
i̯	i̯	5
ʉː	ʉː	5
ɾ̃	ɾ̃	5
ä	ä	5
t̠ʰ	t̠ʰ	5
ɯ	ɯ	4
ɜ	ɜ	4
æ̰ˀ	æ̰ˀ	4
ə̯	ə̯	4
æː	æː	4
äː	äː	4
ɵ	ɵ	4
m̥	m̥	4
r	r	3
ʊ̈	ʊ̈	3
tᵊ	tᵊ	3
⁓	⁓	3
ɚ̯	ɚ̯	3
z̥	z̥	3
l̥ʰ	l̥ʰ	3
ɘ	ɘ	3
ʌ̃	ʌ̃	3
ɪː	ɪː	3
ɪ̃	ɪ̃	3
l̪	l̪	3
ɦ	ɦ	3
ʁ	ʁ	3
p̚	p̚	3
j̊	j̊	3
t͡s	t͡s	3
χ	χ	3
ʉ̯	ʉ̯	2
ɔ̹	ɔ̹	2
~	~	2
eː	eː	2
jː	jː	2
ĩː	ĩː	2
d̠	d̠	2
ɹ̠̝ʷ	ɹ̠̝ʷ	2
d̠͡ɹ̠	d̠͡ɹ̠	2
fʷ	fʷ	2
d̥	d̥	2
d̚	d̚	2
˦˨	˦˨	2
ø	ø	2
pʼ	pʼ	2
ɑ̃	ɑ̃	2
ɸ	ɸ	2
ɪʰ	ɪʰ	2
ǀ	ǀ	2
ɻ	ɻ	2
yː	yː	2
ĭ̥	ĭ̥	2
ŭ̥	ŭ̥	2
ɥ	ɥ	2
ʊ̆	ʊ̆	2
eᵊ	eᵊ	1
æ̃	æ̃	1
ˀe	ˀe	1
ʌˀ	ʌˀ	1
æ̰ː	æ̰ː	1
o̞ː	o̞ː	1
t̪ʰ	t̪ʰ	1
kː	kː	1
ʏ	ʏ	1
ʊː	ʊː	1
k̠ʰ	k̠ʰ	1
t͡ʃʰ	t͡ʃʰ	1
kˡ	kˡ	1
ɒː	ɒː	1
iːʲ	iːʲ	1
e̯	e̯	1
j̥	j̥	1
æ̙	æ̙	1
ʉ̃͡u	ʉ̃͡u	1
tˤ	tˤ	1
n̠	n̠	1
ɜ̝ː	ɜ̝ː	1
m̩ː	m̩ː	1
u̯	u̯	1
nʲ	nʲ	1
kʲʰ	kʲʰ	1
kʲ	kʲ	1
q	q	1
ŋ̍	ŋ̍	1
ɔ̃	ɔ̃	1
˞	˞	1
aʰ	aʰ	1
nʰ	nʰ	1
æˀ	æˀ	1
k̚	k̚	1
u̥	u̥	1
˥˩	˥˩	1
ʊʷ	ʊʷ	1
ɹ̥ʷ	ɹ̥ʷ	1
pʷ	pʷ	1
kʷ	kʷ	1
ɹ̠ʷ	ɹ̠ʷ	1
ʌˑ	ʌˑ	1
b̚	b̚	1
r̩	r̩	1
tː	tː	1
dˀ	dˀ	1
ː	ː	1
b̥	b̥	1
uːʷ	uːʷ	1
ɪˑ	ɪˑ	1
ɒˀ	ɒˀ	1
ɹ̝̊	ɹ̝̊	1
lʷ	lʷ	1
ɛ̃	ɛ̃	1
ʌ᷈	ʌ᷈	1
ɽ̃	ɽ̃	1
t̬	t̬	1
ʍ	ʍ	1
d̪	d̪	1
dⁿ	dⁿ	1
bˡ	bˡ	1
ɹʲ	ɹʲ	1
