Grapheme	mapping	frequency
ə	ə	8224
ɑː	ɑː	7509
ɾ	ɾ	4171
n	n	3668
ɪ	ɪ	2761
t̪	t̪	2643
k	k	2522
iː	iː	2508
s	s	2257
m	m	2238
l	l	2040
d̪	d̪	1535
ʊ	ʊ	1493
ʋ	ʋ	1472
p	p	1451
b	b	1334
j	j	1255
ɡ	ɡ	1138
d͡ʒ	d͡ʒ	1121
ɦ	ɦ	1106
eː	eː	1019
oː	oː	900
ʃ	ʃ	897
uː	uː	864
t͡ʃ	t͡ʃ	679
ʈ	ʈ	669
kʰ	kʰ	544
ɳ	ɳ	499
d̪ʱ	d̪ʱ	421
bʱ	bʱ	398
z	z	372
pʰ	pʰ	370
ŋ	ŋ	349
ʂ	ʂ	342
ɽ	ɽ	319
ɖ	ɖ	268
f	f	264
ɛː	ɛː	262
t̪ʰ	t̪ʰ	245
q	q	230
x	x	225
ɔː	ɔː	209
t͡ʃʰ	t͡ʃʰ	189
ʈʰ	ʈʰ	165
ɡʱ	ɡʱ	137
ɑ̃ː	ɑ̃ː	108
d͡ʒʱ	d͡ʒʱ	103
ɣ	ɣ	86
ɽʱ	ɽʱ	58
ə̃	ə̃	54
ɖʱ	ɖʱ	35
õː	õː	28
ũː	ũː	26
ẽː	ẽː	17
ĩː	ĩː	15
ʊ̃	ʊ̃	8
ɔ̃ː	ɔ̃ː	6
ɛ̃ː	ɛ̃ː	4
ɪ̃	ɪ̃	3
aː	aː	1
