Grapheme	mapping	frequency
"
"	"
"	11295
र	र	1999
न	न	1316
त	त	1206
क	क	1094
म	म	981
ना	ना	969
ल	ल	936
स	स	878
अ	अ	825
य	य	679
र्	र्	678
द	द	637
प	प	635
ह	ह	593
रा	रा	573
व	व	564
ब	ब	540
स्	स्	507
त्	त्	487
ग	ग	482
ता	ता	481
या	या	463
वा	वा	451
ज	ज	450
का	का	427
क्	क्	425
आ	आ	407
ला	ला	396
मा	मा	383
श	श	369
ट	ट	356
री	री	338
ज़	ज़	320
दा	दा	313
प्	प्	308
ति	ति	284
बा	बा	270
नि	नि	264
सा	सा	259
वि	वि	255
ण	ण	240
उ	उ	240
रि	रि	239
च	च	229
नी	नी	203
इ	इ	203
न्	न्	202
क़	क़	202
ली	ली	201
हा	हा	190
द्	द्	187
फ़	फ़	174
ध	ध	171
सं	सं	170
ड़	ड़	165
मु	मु	163
ख	ख	161
श्	श्	160
लि	लि	159
ई	ई	158
ल्	ल्	158
पा	पा	158
ष	ष	148
ती	ती	145
ज़ा	ज़ा	142
चा	चा	142
जा	जा	136
ड	ड	133
गा	गा	132
शा	शा	128
सी	सी	126
रो	रो	121
मि	मि	115
ख़	ख़	115
ग्	ग्	113
थ	थ	110
ष्	ष्	109
हि	हि	109
मी	मी	109
भा	भा	106
दी	दी	106
अं	अं	103
गु	गु	103
सि	सि	102
म्	म्	99
भ	भ	99
शि	शि	99
सु	सु	98
रे	रे	96
ख़ा	ख़ा	96
फ़ा	फ़ा	93
ब्	ब्	92
पु	पु	91
क़ा	क़ा	90
को	को	85
दे	दे	85
ज्	ज्	84
धा	धा	83
ठ	ठ	83
नु	नु	82
फ	फ	82
बे	बे	82
वे	वे	81
चि	चि	81
ने	ने	80
व्	व्	80
की	की	79
कि	कि	77
ए	ए	77
ड़ा	ड़ा	76
कु	कु	76
यु	यु	75
दि	दि	74
रू	रू	74
छ	छ	71
यो	यो	71
रु	रु	71
टा	टा	70
ट्	ट्	70
बि	बि	69
मे	मे	69
सू	सू	69
ज़ी	ज़ी	68
खा	खा	68
था	था	68
पू	पू	68
दु	दु	68
जी	जी	67
बी	बी	67
धि	धि	67
ग़	ग़	66
मं	मं	63
तु	तु	63
घ	घ	62
शी	शी	60
टी	टी	59
लो	लो	59
ख़्	ख़्	58
ही	ही	56
गी	गी	56
ची	ची	56
दू	दू	56
इं	इं	55
गि	गि	54
बु	बु	54
ले	ले	54
वी	वी	54
फ़्	फ़्	54
जि	जि	53
पि	पि	53
भि	भि	53
च्	च्	52
गो	गो	52
फ़ि	फ़ि	52
बं	बं	52
पे	पे	51
से	से	51
रं	रं	50
षा	षा	50
छा	छा	48
डा	डा	48
ड़ी	ड़ी	47
मो	मो	47
मू	मू	45
टि	टि	44
भू	भू	44
टे	टे	44
ध्	ध्	43
पी	पी	43
झ	झ	41
ज़ि	ज़ि	40
शु	शु	40
फ़ी	फ़ी	40
बू	बू	40
ख़ु	ख़ु	40
ऊ	ऊ	39
कं	कं	39
कृ	कृ	38
बो	बो	37
ग़ा	ग़ा	36
यू	यू	36
कू	कू	35
ठा	ठा	33
जु	जु	33
षि	षि	33
ढ़	ढ़	33
तं	तं	33
लं	लं	32
ख्	ख्	32
हु	हु	32
ओ	ओ	32
क़्	क़्	30
खि	खि	30
चु	चु	30
ण्	ण्	29
के	के	29
लु	लु	29
तू	तू	28
ञा	ञा	28
धी	धी	28
सो	सो	28
ज़्	ज़्	28
डि	डि	27
थि	थि	27
णी	णी	27
णा	णा	27
लू	लू	27
तो	तो	26
पं	पं	26
ते	ते	26
टो	टो	25
औ	औ	25
जू	जू	24
हे	हे	24
यि	यि	24
ख़ि	ख़ि	24
घा	घा	24
हो	हो	23
नू	नू	23
झा	झा	23
यं	यं	22
भ्	भ्	22
डी	डी	22
वं	वं	22
पो	पो	22
मौ	मौ	22
वै	वै	21
ड्	ड्	21
शे	शे	21
जो	जो	21
नो	नो	21
बै	बै	20
यी	यी	20
चो	चो	20
क़ी	क़ी	20
क़ि	क़ि	20
चू	चू	19
थी	थी	19
भु	भु	19
हिं	हिं	19
वृ	वृ	19
रां	रां	19
दं	दं	19
खु	खु	19
चौ	चौ	19
चे	चे	18
भी	भी	18
शो	शो	18
छि	छि	18
दो	दो	18
लैं	लैं	18
गं	गं	18
ग़ु	ग़ु	18
मां	मां	18
ख़ू	ख़ू	18
पै	पै	18
अँ	अँ	17
गू	गू	16
भो	भो	16
धु	धु	16
हं	हं	16
खी	खी	16
ख़ो	ख़ो	16
मै	मै	16
णि	णि	15
डो	डो	15
षे	षे	15
टू	टू	15
चं	चं	15
ह्	ह्	15
खे	खे	15
ऐ	ऐ	15
है	है	15
सौ	सौ	15
मृ	मृ	14
कां	कां	14
फि	फि	14
ज़ू	ज़ू	14
फा	फा	14
फ़ो	फ़ो	14
भे	भे	14
ख़ी	ख़ी	14
तः	तः	13
ञ	ञ	13
ड़ि	ड़ि	13
में	में	13
सिं	सिं	13
सां	सां	13
ऋ	ऋ	13
कॉ	कॉ	13
रौ	रौ	13
छो	छो	13
फो	फो	13
पौ	पौ	13
खं	खं	12
नौ	नौ	12
माँ	माँ	12
षी	षी	12
छु	छु	12
ढ़ा	ढ़ा	12
खो	खो	12
ज़ु	ज़ु	12
झू	झू	12
ठी	ठी	11
णु	णु	11
आँ	आँ	11
यों	यों	11
लै	लै	11
छे	छे	10
नं	नं	10
रै	रै	10
फी	फी	10
दृ	दृ	10
जे	जे	10
सै	सै	10
ज़ो	ज़ो	10
लौ	लौ	10
डु	डु	10
तृ	तृ	10
कै	कै	10
गां	गां	10
तौ	तौ	10
बाँ	बाँ	10
ग़ै	ग़ै	10
घू	घू	10
घो	घो	10
हू	हू	10
शू	शू	10
फ़ै	फ़ै	10
यां	यां	9
आं	आं	9
गे	गे	9
दौ	दौ	9
ठि	ठि	9
ऑ	ऑ	9
लिं	लिं	9
थ्	थ्	9
राँ	राँ	9
घु	घु	9
मुं	मुं	9
धू	धू	8
धो	धो	8
गृ	गृ	8
वो	वो	8
ग़ो	ग़ो	8
शं	शं	8
फ़े	फ़े	8
क़ै	क़ै	8
जं	जं	8
ज़िं	ज़िं	8
झु	झु	8
ठे	ठे	8
फ़ु	फ़ु	8
यौ	यौ	8
फु	फु	8
शौ	शौ	8
ये	ये	7
छू	छू	7
वां	वां	7
बिं	बिं	7
ढ	ढ	7
पृ	पृ	7
डे	डे	7
साँ	साँ	7
काँ	काँ	7
कुं	कुं	7
कौ	कौ	7
ढा	ढा	7
गाँ	गाँ	7
गौ	गौ	7
फे	फे	7
बां	बां	7
भौ	भौ	7
हँ	हँ	7
शै	शै	7
धे	धे	6
झ़	झ़	6
सें	सें	6
वाँ	वाँ	6
उं	उं	6
हों	हों	6
ठु	ठु	6
ढ़ी	ढ़ी	6
क़ु	क़ु	6
डू	डू	6
कैं	कैं	6
षु	षु	6
ख़ै	ख़ै	6
वु	वु	6
णे	णे	6
चां	चां	6
जाँ	जाँ	6
फ़ू	फ़ू	6
ढो	ढो	6
फ़ं	फ़ं	6
मुँ	मुँ	6
फ़ौ	फ़ौ	6
फू	फू	6
फ्	फ्	6
क़ू	क़ू	6
भं	भं	6
सॉ	सॉ	6
सौं	सौं	6
जें	जें	5
शां	शां	5
डं	डं	5
निं	निं	5
थो	थो	5
ठ्	ठ्	5
छी	छी	5
हाँ	हाँ	5
हीं	हीं	5
लों	लों	5
रों	रों	5
चुं	चुं	5
ढी	ढी	5
दां	दां	5
झि	झि	5
चौं	चौं	5
जै	जै	5
