Grapheme	mapping	frequency
äː	äː	7046
ə	ə	5364
n̪	n̪	3799
ɾ	ɾ	3488
s̪	s̪	2377
t̪	t̪	2257
k	k	2209
l̪	l̪	2106
m	m	2071
ɪ	ɪ	2004
iː	iː	1979
ə̃	ə̃	1757
p	p	1298
d̪	d̪	1297
ʋ	ʋ	1192
j	j	1178
ʊ	ʊ	1142
b	b	1137
ʃ	ʃ	1077
ɡ	ɡ	996
ɦ	ɦ	991
d͡ʒ	d͡ʒ	949
eː	eː	794
ä̃ː	ä̃ː	746
oː	oː	634
uː	uː	588
t͡ʃ	t͡ʃ	559
ʈ	ʈ	542
ɳ	ɳ	490
kʰ	kʰ	455
d̪ʱ	d̪ʱ	363
ŋ	ŋ	355
bʱ	bʱ	340
pʰ	pʰ	304
i	i	290
z	z	290
ɪ̃	ɪ̃	285
ɽ	ɽ	252
ɖ	ɖ	250
ɛ	ɛ	242
t̪ʰ	t̪ʰ	221
f	f	213
q	q	188
x	x	183
t͡ʃʰ	t͡ʃʰ	161
w	w	152
ɛː	ɛː	152
ɔː	ɔː	146
ʊ̃	ʊ̃	145
jᵊ	jᵊ	138
ʈʰ	ʈʰ	136
ɡʱ	ɡʱ	131
t̪̚	t̪̚	129
ĩː	ĩː	114
ɔ	ɔ	96
ũː	ũː	84
d͡ʒʱ	d͡ʒʱ	81
ɾᵊ	ɾᵊ	76
õː	õː	76
ẽː	ẽː	75
ɣ	ɣ	72
d̪̚	d̪̚	72
ɛ̃ː	ɛ̃ː	64
t̚	t̚	48
k̚	k̚	46
ɽʱ	ɽʱ	41
ʈ̚	ʈ̚	34
ɖʱ	ɖʱ	32
ɔ̃ː	ɔ̃ː	31
wᵊ	wᵊ	29
n̪ᵊ	n̪ᵊ	23
ɛ̃	ɛ̃	21
l̪ᵊ	l̪ᵊ	17
b̚	b̚	17
p̚	p̚	16
ə̯	ə̯	15
aː	aː	15
ʂ	ʂ	14
d̚	d̚	14
mᵊ	mᵊ	12
ɖ̚	ɖ̚	10
ɑː	ɑː	7
ɔ̃	ɔ̃	7
u	u	7
‿	‿	4
s	s	3
æ̃	æ̃	3
ʋᵊ	ʋᵊ	3
n	n	2
æ	æ	2
v	v	2
l	l	2
ʒ	ʒ	1
ɭ	ɭ	1
ɴ	ɴ	1
ɖᵊ	ɖᵊ	1
ɽᵊ	ɽᵊ	1
ɪː	ɪː	1
ɑ	ɑ	1
ɔ̯	ɔ̯	1
ɪ̯	ɪ̯	1
ɦᵊ	ɦᵊ	1
əᵊ	əᵊ	1
