Grapheme	mapping	frequency
a	a	1789
i	i	593
n	n	548
r	r	534
k	k	489
s	s	487
ə	ə	473
t	t	450
m	m	371
l	l	338
u	u	307
b	b	295
o	o	286
p	p	283
d	d	262
ŋ	ŋ	186
ɛ	ɛ	167
h	h	156
ɡ	ɡ	126
e	e	121
t͡ʃ	t͡ʃ	104
ɪ	ɪ	103
w	w	84
ʊ	ʊ	82
d͡ʒ	d͡ʒ	74
j	j	53
f	f	49
ɔ	ɔ	43
ʔ	ʔ	36
k̚	k̚	34
t̚	t̚	33
i̯	i̯	22
ɲ	ɲ	22
ʃ	ʃ	21
v	v	19
u̯	u̯	15
ʒ	ʒ	15
p̚	p̚	13
z	z	13
a̯	a̯	13
x	x	8
c	c	5
ə̆	ə̆	4
é	é	4
ʊ̯	ʊ̯	3
ɡʲ	ɡʲ	3
aʲ	aʲ	2
ʌ	ʌ	2
iʸ	iʸ	2
ɣ	ɣ	2
ɣʲ	ɣʲ	2
ʋ	ʋ	2
y	y	2
æ	æ	2
ɑ	ɑ	1
eʸ	eʸ	1
bʰ	bʰ	1
hʲ	hʲ	1
xʲ	xʲ	1
ä	ä	1
ɘ	ɘ	1
q	q	1
ɪ̯	ɪ̯	1
aː	aː	1
ɑː	ɑː	1
,	,	1
