Grapheme	mapping	frequency
a	a	2414
s	s	1190
r	r	1179
i	i	991
n	n	895
k	k	879
l	l	725
ə	ə	653
t	t	630
m	m	592
p	p	570
ɪ	ɪ	544
ɛ	ɛ	544
o	o	493
b	b	351
u	u	327
ɔ	ɔ	325
ʊ	ʊ	267
d	d	262
ɡ	ɡ	252
t̪	t̪	240
e	e	214
ŋ	ŋ	188
f	f	166
d̪	d̪	159
h	h	156
t͡ʃ	t͡ʃ	153
d͡ʒ	d͡ʒ	118
w	w	83
k̚	k̚	72
v	v	64
j	j	59
i̯	i̯	59
t̪̚	t̪̚	52
a̯	a̯	45
ʔ	ʔ	44
t̚	t̚	42
p̚	p̚	28
u̯	u̯	21
ɲ	ɲ	19
x	x	15
z	z	14
o̯	o̯	10
ə̆	ə̆	9
ʃ	ʃ	7
ɫ	ɫ	4
aʸ	aʸ	2
ʒ	ʒ	2
e̯	e̯	2
ä	ä	2
c	c	2
hʲ	hʲ	1
ɟ	ɟ	1
ɾ	ɾ	1
kʰ	kʰ	1
u̪	u̪	1
ɪ̯	ɪ̯	1
a̝	a̝	1
i̽	i̽	1
ɐ	ɐ	1
y	y	1
