Grapheme	mapping	frequency
a̠	a̠	3062
ɯ̟ᵝ	ɯ̟ᵝ	2777
o̞	o̞	2336
ɾ	ɾ	2247
i	i	2095
t	t	1555
s	s	1464
e̞	e̞	1373
k	k	1350
m	m	1085
ɨᵝ	ɨᵝ	1026
p	p	821
b	b	821
n	n	816
a̠ː	a̠ː	743
ɾʲ	ɾʲ	655
ɴ	ɴ	641
d	d	623
ã̠	ã̠	561
o̞ː	o̞ː	517
ɡ	ɡ	493
ɕ	ɕ	440
ĩ	ĩ	436
iː	iː	423
e̞ː	e̞ː	409
ɸ	ɸ	384
õ̞	õ̞	358
t͡ɕ	t͡ɕ	341
ɲ̟	ɲ̟	328
kʲ	kʲ	295
ɨ̥ᵝ	ɨ̥ᵝ	294
h	h	280
ẽ̞	ẽ̞	264
t̚	t̚	238
bʲ	bʲ	222
ŋ	ŋ	206
ʑ	ʑ	203
z	z	199
ɰᵝ	ɰᵝ	196
k̚	k̚	195
ɰ̃	ɰ̃	191
mʲ	mʲ	178
ɯ̟ᵝː	ɯ̟ᵝː	169
pʲ	pʲ	157
ɯ̟̊ᵝ	ɯ̟̊ᵝ	139
j	j	132
d͡ʑ	d͡ʑ	128
p̚	p̚	122
t͡s	t͡s	116
ɨᵝː	ɨᵝː	115
ɡʲ	ɡʲ	59
ɯ̟̃ᵝ	ɯ̟̃ᵝ	56
ç	ç	53
i̥	i̥	46
ɕː	ɕː	45
d͡z	d͡z	43
ŋʲ	ŋʲ	20
mː	mː	19
k̚ʲ	k̚ʲ	19
sː	sː	19
nː	nː	14
ɨ̃ᵝ	ɨ̃ᵝ	10
p̚ʲ	p̚ʲ	9
mʲː	mʲː	1
