Grapheme	mapping	frequency
a	a	12955
̠	̠	12954
ʰ	ʰ	9062
i	i	7446
t	t	7368
̞	̞	6795
k	k	6657
ʌ	ʌ	5627
̹	̹	5625
͡	͡	5594
n	n	5469
d	d	5319
o	o	5170
u	u	4636
ɕ	ɕ	4557
m	m	4531
ŋ	ŋ	4476
p	p	4369
s	s	3981
͈	͈	3880
̚	̚	3855
j	j	3446
ɯ	ɯ	3376
ɭ	ɭ	3113
ː	ː	3009
ɾ	ɾ	2829
ɡ	ɡ	2455
ɛ	ɛ	2319
e	e	2141
ʑ	ʑ	2057
w	w	1541
b	b	1256
ɦ	ɦ	1178
ɲ	ɲ	951
ʎ	ʎ	834
ɘ	ɘ	545
h	h	473
c	c	383
̧	̧	383
ɥ	ɥ	380
ɸ	ɸ	344
β	β	319
x	x	273
ɰ	ɰ	148
ʷ	ʷ	148
ʝ	ʝ	147
ɣ	ɣ	24
ʃ	ʃ	12
ɤ	ɤ	5
̘	̘	4
ɐ	ɐ	4
~	~	4
̝	̝	3
ɨ	ɨ	3
ə	ə	2
ɔ	ɔ	2
y	y	1
ɪ	ɪ	1
̃	̃	1
̬	̬	1
